,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
21,3.1,15.1,0.0,1.2,52.3,10.3,12.12,0.0,3664.437431494337,5350.077706734867,3347.2222222222226,1.6505456539607683e-28
22,4.1,15.4,0.0,1.1,51.6,10.2,11.7,0.4,3445.233604077082,5032.342092689918,3230.5555555555557,1.5244943835032962e-28
23,4.8,16.6,0.0,1.1,55.5,10.2,11.61,0.1,3347.810266715382,4895.6365728900255,3202.7777777777774,1.4944107036647003e-28
24,4.7,16.2,0.0,1.0,55.4,10.2,9.55,4.8,2864.210521362695,3754.4086391869,2622.2222222222217,1.295320774506555e-28
25,4.2,14.5,0.0,1.7,65.1,10.2,8.28,6.5,2208.99270584488,2762.86276477146,2291.666666666667,1.0130512034615314e-28
26,0.6,11.4,0.0,1.4,50.8,10.1,9.17,4.6,2550.2290689410092,3076.4996013720224,2530.5555555555557,1.2333517894669873e-28
27,1.9,10.7,0.0,1.1,48.8,10.1,7.49,6.9,2308.0181629964236,2596.818407679277,2072.222222222222,1.0891264976055682e-28
28,3.3,11.3,0.0,1.4,50.4,10.1,7.83,1.9,2480.245341614907,3149.3863354037267,2158.333333333333,1.1204873416272465e-28
29,0.0,12.7,0.2,1.8,39.9,10.0,11.03,2.0,3277.7844908714474,4904.617843026539,3050.0000000000005,1.438296536676112e-28
30,3.1,8.2,1.0,1.2,57.1,10.0,2.95,8.4,777.588883580188,631.6950151297978,811.1111111111111,3.5391981930443407e-29
31,-1.3,7.1,0.0,2.4,35.0,10.0,10.82,0.8,3328.1618859401474,4990.1392057218145,2991.6666666666665,1.4148980945277915e-28
32,-3.1,7.6,0.0,1.4,29.6,10.0,10.76,3.1,3166.0618251313904,4509.751966873706,2980.555555555555,1.3666761350778077e-28
33,0.3,3.8,10.9,1.8,71.1,9.9,3.38,9.0,808.2458039403053,994.8109332696288,938.8888888888888,6.146399714992078e-30
34,1.3,9.8,0.0,1.0,77.8,9.9,7.9,3.8,2077.1544513457557,2577.324430641822,2183.3333333333335,9.702223400202944e-29
35,1.6,13.6,0.0,1.0,70.1,9.9,10.05,0.6,2937.642631281762,4388.1788067005455,2783.3333333333335,1.2817431980506727e-28
36,3.1,12.5,0.0,1.5,65.0,9.9,4.62,6.1,1060.1306418219463,976.2739130434782,1277.7777777777776,4.9741309904770154e-29
37,2.1,11.1,0.0,1.6,27.1,9.8,9.68,3.8,2876.766252587992,4405.091638795987,2683.333333333333,1.2226746184822086e-28
38,0.6,6.7,0.0,1.3,41.4,9.8,2.81,5.8,845.5405797101448,751.4718426501036,772.2222222222224,3.931172742581463e-29
