,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
0,5.5,15.1,0.0,2.3,30.9,12.9,25.92,0.0,7010.333333333333,6083.166666666666,6675.000000000001,315.74945
1,3.5,15.3,0.0,1.7,42.9,12.9,23.38,3.1,6357.7619047619055,5524.428571428572,6097.222222222222,285.81603333333334
2,5.6,17.5,0.0,1.5,47.8,13.0,20.73,5.1,5149.833333333333,4508.5,5374.999999999999,228.57767499999997
3,5.9,14.7,0.0,1.3,54.1,13.0,15.31,6.8,4020.0,3666.6666666666665,3927.777777777778,184.20173333333335
4,2.7,15.7,0.6,1.9,60.4,13.0,14.69,3.4,4273.166666666667,3710.6666666666665,3713.8888888888887,195.14244999999994
5,4.5,18.7,0.0,2.6,38.5,13.1,25.9,2.3,6997.0,6126.833333333333,6769.444444444444,316.11746666666676
6,6.0,22.5,0.0,1.3,34.3,13.1,26.28,0.6,6877.666666666666,6044.208333333333,6730.555555555556,301.3604708333333
7,6.7,20.8,0.0,1.1,32.1,13.1,19.79,5.4,4916.0,4412.999999999999,4983.333333333333,219.1864083333333
8,7.5,23.5,0.0,1.9,38.4,13.2,24.2,3.5,6276.166666666666,5527.595238095238,6241.666666666666,272.9446476190476
9,10.0,19.9,3.6,2.1,63.6,13.2,12.96,7.6,3292.5000000000005,3050.833333333333,3319.4444444444453,152.00959999999998
10,10.3,20.3,0.0,1.8,60.0,13.2,19.98,5.9,5361.5,4797.2380952380945,5216.666666666667,241.05758928571427
11,9.8,15.1,11.5,2.0,75.5,13.3,5.15,9.6,993.6666666666666,943.1666666666665,1202.7777777777776,48.08130000000001
12,8.3,16.4,0.0,2.0,73.3,13.3,10.03,7.3,2452.523809523809,2228.4047619047615,2544.4444444444443,109.3953035714286
13,5.4,13.6,0.0,3.0,46.1,13.4,25.3,3.9,5757.999999999999,5203.333333333334,6363.888888888889,263.221375
14,4.5,10.7,0.0,3.0,42.0,13.4,18.04,3.4,4345.619047619048,3930.071428571429,4502.777777777778,204.293625
15,3.9,14.9,0.0,2.6,39.6,13.4,23.47,1.3,6183.166666666666,5505.666666666666,5913.888888888889,275.473525
16,4.5,17.5,0.0,2.6,39.0,13.5,27.09,0.0,6890.5952380952385,6206.857142857144,6838.888888888889,310.87880595238096
17,9.4,22.0,0.0,2.9,40.8,13.5,23.63,2.3,6067.500000000001,5447.833333333334,6013.888888888889,268.83887500000003
18,7.3,19.3,0.0,1.9,42.8,13.5,27.4,1.9,7054.0,6356.833333333333,6936.111111111111,310.2643
19,7.4,18.4,0.0,1.7,37.0,13.6,23.19,2.1,5321.619047619048,4857.9047619047615,5686.111111111112,235.74859761904762
20,6.8,22.0,0.0,2.0,43.0,13.6,27.18,0.0,6871.333333333334,6226.833333333333,6838.88888888889,296.91313333333335
21,9.8,24.3,0.0,1.5,43.6,13.6,26.82,0.0,6631.547619047619,5993.571428571428,6738.888888888888,283.3199595238095
22,8.3,26.6,0.0,1.6,53.6,13.7,27.2,0.1,6786.0,6132.333333333331,6830.555555555556,289.21125
23,16.7,29.7,0.0,1.7,65.1,13.7,24.22,3.1,6087.619047619048,5541.309523809524,6183.333333333333,258.0759988095238
24,19.5,28.0,0.0,1.6,56.4,13.7,19.51,8.5,4428.0,4054.333333333334,5083.333333333333,195.60738333333336
25,18.0,22.7,1.4,1.4,71.8,13.8,10.48,7.5,2288.0952380952376,2177.023809523809,2388.8888888888887,104.58492738095238
26,15.1,28.2,0.0,1.5,64.4,13.8,20.54,6.5,5999.166666666667,5512.166666666666,5163.88888888889,256.4943
27,12.6,21.7,1.5,1.1,78.0,13.8,9.18,6.5,1699.666666666667,1570.5,2024.9999999999998,75.73499166666666
28,11.8,27.6,0.0,1.8,59.5,13.9,25.9,3.8,6788.428571428572,6221.4047619047615,6641.666666666667,290.94450119047616
29,14.3,26.2,0.0,2.6,29.1,13.9,28.01,3.8,6646.833333333333,6074.5,6972.222222222222,281.880475
30,14.5,25.4,4.2,1.6,33.0,13.9,24.07,6.3,5686.380952380952,5140.92857142857,6063.888888888889,239.7968392857143
31,13.3,18.6,10.8,2.1,88.6,14.0,4.05,9.9,689.3333333333335,652.3333333333333,911.1111111111112,33.23749166666666
32,13.3,19.0,0.2,1.6,85.4,14.0,7.07,8.0,2138.8333333333335,2030.0,1691.6666666666667,98.57586666666666
33,14.1,25.7,0.0,1.9,55.4,14.0,24.97,5.9,6335.857142857143,5797.404761904762,6452.777777777778,274.1479428571429
34,12.6,21.7,0.0,2.7,56.9,14.0,22.38,2.9,5920.500000000001,5503.666666666667,5366.666666666667,260.2302916666667
35,9.8,24.0,0.0,2.0,43.4,14.1,29.12,0.9,7116.666666666667,6579.166666666666,7224.999999999999,307.30531666666667
36,12.6,27.4,0.0,1.0,36.9,14.1,23.55,8.3,5873.642857142857,5338.714285714285,6108.333333333333,247.87939642857143
37,15.0,21.3,18.7,1.5,75.5,14.1,3.62,10.0,716.3333333333333,683.3333333333331,825.0,36.438449999999996
38,16.2,21.2,0.0,1.4,81.1,14.2,13.72,9.0,2585.4523809523807,2420.4285714285716,3444.444444444445,118.59433809523807
39,16.2,28.2,0.0,1.4,67.9,14.2,25.24,7.0,6299.714285714284,5866.571428571428,6333.333333333333,267.0352642857143
40,14.8,27.2,23.7,2.3,74.8,14.2,19.11,7.6,3964.166666666667,3667.166666666667,4847.222222222222,173.47138333333334
