,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
67,20.9,28.7,4.8,1.6,68.5,14.7,18.91,6.0,4261.647484909457,4021.3897384305837,4725.000000000001,207.4263149899396
68,18.4,28.1,0.0,1.4,52.6,14.7,23.48,6.4,5086.4597585513075,5098.0295774647875,5805.555555555555,242.10112441314558
69,18.0,28.8,0.0,1.1,51.4,14.7,26.14,5.5,6089.878873239437,5941.628370221327,6786.111111111112,282.1375471495641
70,18.5,29.5,0.0,1.2,56.5,14.7,22.53,7.9,4931.969416498994,4856.709456740442,5500.0,232.29013504359494
71,20.0,25.0,0.0,0.8,63.3,14.8,9.28,8.9,2114.679487179487,2197.6923076923076,2227.7777777777783,107.36170405982905
72,19.2,29.2,0.0,1.3,55.6,14.7,22.89,7.0,5531.4423076923085,5421.467948717948,5691.666666666667,257.87412927350425
73,19.2,30.7,0.0,1.3,56.3,14.7,26.26,3.8,5625.923076923077,5585.807692307692,6413.888888888889,263.03857264957264
74,21.5,32.4,0.0,1.1,51.4,14.7,25.98,5.4,6035.50641025641,5895.128205128206,6330.555555555555,276.8572905982906
75,21.0,34.5,0.0,1.0,48.5,14.7,28.52,1.8,6279.884615384614,6131.23717948718,6958.333333333335,283.9564423076924
76,22.9,33.7,0.0,1.0,50.5,14.8,21.25,7.4,4667.76282051282,4796.99358974359,5386.111111111111,219.10366773504273
77,19.7,27.5,4.4,2.4,64.5,14.7,3.64,8.8,823.4807692307693,870.4551282051281,844.4444444444443,44.4348579059829
78,19.8,24.0,1.3,1.2,77.1,14.7,5.15,9.5,1055.1923076923076,1105.6153846153848,1283.3333333333335,58.357690170940174
79,19.2,26.2,1.3,1.4,72.4,14.7,9.97,8.3,3876.6089743589746,3739.474358974359,2252.777777777778,191.7372297008547
80,20.2,28.8,0.0,0.8,63.6,14.7,18.42,7.8,4009.141025641025,3874.224358974359,4527.777777777778,192.62828205128204
81,20.1,30.5,0.0,1.1,61.1,14.7,25.03,2.0,5645.1858974358975,5516.775641025642,6036.1111111111095,260.8247510683761
82,20.0,27.8,7.9,1.3,66.4,14.7,11.82,8.4,2130.044871794872,2200.4102564102564,2655.555555555555,105.8128579059829
83,17.4,25.0,17.8,2.0,70.0,14.7,8.13,9.4,1388.3589743589744,1452.9423076923074,2097.222222222222,76.41839850427353
84,17.1,23.1,1.6,0.6,78.3,14.7,9.1,8.0,1718.6025641025644,1818.8461538461536,1972.222222222222,89.76527777777778
85,17.9,29.9,0.0,1.1,60.0,14.7,28.53,5.0,5999.153846153846,5920.301282051282,7066.666666666667,281.95208333333335
86,20.6,28.9,0.0,1.2,53.8,14.7,19.81,8.3,2815.0000000000005,2915.6730769230767,4911.111111111111,142.81247863247864
87,17.7,28.4,0.8,1.1,59.0,14.7,23.7,7.8,6069.089743589743,5955.942307692308,5833.333333333334,286.09848611111113
88,18.6,28.4,0.0,1.0,61.6,14.7,23.11,7.0,4678.019230769231,4579.326923076923,5702.777777777778,224.11586858974363
89,20.2,31.5,0.0,1.1,60.5,14.6,23.07,6.3,5490.53205128205,5423.179487179486,5411.111111111111,255.16137393162393
90,22.1,27.8,0.1,1.4,64.3,14.6,15.32,6.9,3019.3397435897436,3107.371794871795,3694.4444444444453,150.02456837606834
91,20.6,30.8,0.0,1.2,61.6,14.6,24.65,4.6,6191.589743589744,6029.749999999999,6113.88888888889,287.8468611111111
92,21.7,33.0,0.0,1.3,53.9,14.6,23.26,4.5,5548.839743589744,5393.448717948718,5752.7777777777765,260.08448076923077
93,22.7,28.5,0.2,1.5,64.1,14.6,12.82,9.2,3748.5576923076924,3492.5,3038.888888888889,181.3866848290598
94,21.9,29.2,0.0,1.6,60.1,14.6,12.5,0.0,3581.9038461538457,3566.7564102564106,2922.222222222222,176.02062927350426
95,19.8,25.8,4.4,1.1,68.4,14.5,8.24,0.0,1478.2692307692307,1572.8333333333335,1972.2222222222222,75.35871367521368
96,17.5,20.1,47.8,1.6,84.9,14.5,3.77,7.7,626.1089743589744,649.9871794871796,977.7777777777778,36.65498824786325
97,16.6,23.9,13.3,1.4,71.3,14.5,11.55,8.1,2187.0448717948716,2285.4935897435894,2955.555555555555,111.09058760683762
98,17.2,26.2,2.3,0.8,72.0,14.5,19.58,6.4,4553.397435897436,4333.0192307692305,4691.666666666666,218.7869711538462
99,18.1,29.4,7.4,0.8,71.8,14.5,24.31,6.6,6188.891025641026,5860.089743589743,5891.666666666668,283.8865074786325
100,20.1,30.4,0.1,0.7,69.3,14.5,20.52,4.1,5570.429487179488,5514.076923076924,5333.333333333333,255.51791239316242
101,21.0,29.8,0.0,0.9,66.3,14.4,21.11,5.5,5260.615384615385,5076.641025641026,4966.666666666667,247.42976388888889
102,20.7,29.6,1.3,2.3,65.9,14.4,11.07,9.9,3044.8333333333335,3110.4423076923076,2836.111111111111,154.26452350427346
103,22.1,28.8,7.7,1.7,78.3,14.4,4.96,9.5,829.6602564102565,862.8461538461538,1305.5555555555557,46.12200213675214
104,22.0,30.9,0.0,0.8,65.9,14.4,21.4,5.9,6138.7307692307695,6002.621794871793,5391.666666666667,278.09274893162393
105,21.9,26.3,8.4,0.7,81.5,14.3,7.39,10.0,1033.6602564102564,1085.1410256410259,1933.3333333333337,52.53395940170939
106,19.0,23.6,38.1,1.2,83.3,14.3,3.41,10.0,680.5833333333333,708.5448717948718,913.8888888888889,35.37959935897435
107,18.5,25.3,3.5,1.5,75.1,14.3,6.47,8.3,1439.871794871795,1532.666666666667,1633.3333333333335,76.40640064102566
108,20.3,26.8,0.3,1.3,73.9,14.3,12.8,8.9,3058.974358974359,3130.6923076923076,3169.4444444444443,149.10841880341883
109,20.5,29.1,0.0,0.8,70.5,14.2,16.98,8.4,2521.5833333333335,2651.173076923077,4258.333333333333,126.23819444444443
110,22.1,27.5,0.0,0.9,71.6,14.2,10.25,10.0,2043.3653846153843,2137.1794871794873,2572.222222222222,101.8087264957265
111,22.2,26.6,3.0,0.7,78.9,14.2,7.85,9.9,2070.2243589743593,2118.3076923076924,1947.2222222222222,105.47128133903134
112,22.4,27.8,50.4,0.9,80.4,14.2,0.0,10.0,1451.6217948717947,1513.8141025641025,0.0,75.27482585470085
113,23.0,28.5,12.9,0.7,79.8,14.1,0.0,8.6,2736.9102564102564,2629.0512820512818,0.0,132.00631837606838
