,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
0,8.4,21.0,0.0,2.5,44.6,12.8,24.58,1.3,6854.689370448923,5804.38191032981,6547.222222222223,286.87954996018846
1,4.5,19.2,0.0,2.2,51.3,12.9,22.92,1.4,6317.2499434245265,5403.185168685364,6072.222222222222,259.12022040393873
2,8.3,14.0,0.0,2.2,56.0,12.9,8.99,9.3,2929.9091399947956,2716.189834601874,2213.8888888888887,129.81353375198464
3,6.2,15.0,1.8,1.7,73.5,13.0,11.28,8.4,2757.0486271121354,2706.307024449565,2972.2222222222226,111.76930239750314
4,7.3,14.1,7.2,3.1,80.3,13.0,11.17,9.4,2631.163081702069,2361.7393455155225,2872.222222222222,122.26939259730918
5,5.3,16.4,0.1,3.3,50.1,13.0,13.4,5.5,3727.5779558613062,3306.9143816679675,3416.6666666666665,186.73660468611277
6,2.1,23.9,0.0,2.3,51.6,13.1,25.63,1.4,6836.909358907733,5901.051545909344,6747.222222222223,281.434436286348
7,7.1,20.6,0.0,2.4,51.4,13.1,17.86,6.9,5044.749506056593,4590.866255663044,4644.444444444443,206.92086653382566
8,10.8,20.2,0.0,3.3,60.3,13.1,22.73,3.9,5931.620790066926,5196.746238209004,5936.11111111111,253.2603925592612
9,10.9,13.1,24.2,2.0,90.5,13.2,2.78,8.5,631.3359049532557,617.7634444794427,697.2222222222223,31.265945450695668
10,9.8,21.9,0.0,2.3,72.9,13.2,22.26,5.6,4526.977882991974,4093.0026267078492,5866.666666666667,188.27705617390865
11,9.5,15.2,25.7,2.6,83.6,13.2,5.13,9.9,1462.0336782895847,1446.32012767258,1313.888888888889,66.00934029858982
12,10.3,20.6,0.0,2.8,68.4,13.3,21.18,5.9,5407.66522139848,4832.98795178861,5494.444444444443,233.06900322124304
13,8.0,19.4,0.0,4.0,33.6,13.3,26.72,4.8,6660.20077344424,5900.733928397484,6972.222222222222,281.70491405460587
14,4.3,16.5,0.0,3.5,34.4,13.3,26.52,1.5,6753.496521569095,6008.998556168993,6891.666666666668,287.70081374242517
15,4.0,17.0,0.0,2.9,40.4,13.4,26.22,1.4,6559.3065549955745,5845.836006342996,6916.666666666667,284.43538690357883
16,4.1,17.3,0.0,3.0,43.1,13.4,25.83,0.9,6116.181296585392,5527.627973684241,6800.0,252.1152332726022
17,6.0,21.2,0.0,4.8,64.0,13.4,25.04,0.0,5571.0739232285005,4942.975529691924,6069.444444444444,241.91361132544603
18,8.3,21.6,0.0,2.5,57.8,13.5,26.05,1.4,6878.636953941769,6150.006752232988,6833.333333333333,290.64080345764046
19,5.4,20.9,0.0,2.2,60.1,13.5,21.66,3.0,0.0,0.0,0.0,0.0
20,6.2,22.2,0.0,2.3,56.5,13.5,26.06,0.6,0.0,0.0,0.0,0.0
21,8.0,25.4,0.0,2.6,51.6,13.6,25.62,0.3,0.0,0.0,0.0,0.0
22,7.8,23.6,0.0,3.6,67.5,13.6,26.63,1.6,0.0,0.0,0.0,0.0
23,17.0,26.2,0.0,4.3,75.1,13.6,23.11,3.5,0.0,0.0,0.0,0.0
24,15.5,24.2,0.2,2.9,81.9,13.7,15.94,8.8,0.0,0.0,0.0,0.0
25,14.4,18.6,11.7,1.3,95.3,13.7,3.59,9.1,0.0,0.0,0.0,0.0
26,16.2,29.6,0.0,2.4,77.3,13.7,23.94,5.5,6031.117134682582,5529.527043184341,6272.222222222222,244.89325680529686
27,14.2,21.6,0.0,2.6,75.0,13.7,12.11,8.0,2954.7468968917574,2795.2010528505502,3019.444444444445,119.5385645107837
28,13.1,27.0,0.0,2.9,62.5,13.8,26.56,2.5,6622.636615245009,6075.5809588626735,6933.333333333333,287.05152969768466
29,12.8,22.9,0.0,3.4,44.5,13.8,27.08,4.4,6821.016794165878,6268.3045628784985,7047.222222222223,292.39795034443614
30,11.5,23.9,0.0,2.8,61.0,13.8,23.83,6.8,334.62913441238567,332.2646023926811,725.0000000000001,22.486487645122168
31,15.5,19.4,36.0,1.9,95.5,13.9,2.94,9.6,669.9255071317571,658.5347218753468,761.1111111111111,33.046846340653346
32,15.0,25.5,0.0,2.7,78.0,13.9,19.64,6.0,5078.765240468207,4731.209947721438,5177.777777777778,222.19982643885407
33,13.3,29.8,0.0,2.0,56.5,13.9,26.96,1.8,6634.245358991543,6162.9595952725695,7002.777777777778,272.22301450133125
34,16.0,24.9,0.0,3.5,53.4,14.0,26.31,0.9,6435.536690831622,5986.234483371333,6797.222222222222,261.5069262095102
35,11.3,26.4,0.0,2.3,48.9,14.0,27.83,0.0,6774.293797228476,6317.38222368539,7249.999999999999,282.9480122461303
36,11.4,26.5,0.0,2.1,50.3,14.0,23.58,6.0,5561.509137744088,5250.20771980471,5997.222222222223,228.87168115778488
37,15.1,17.5,7.1,1.6,86.0,14.0,3.2,9.5,578.7796923507708,577.4434104425765,797.2222222222221,29.779042578808593
38,15.9,28.0,0.2,1.4,84.3,14.1,20.06,9.3,2523.7868432350774,2381.539621468002,5308.333333333333,215.8329972221437
39,16.6,24.4,0.0,1.9,81.1,14.1,22.07,7.4,2799.6687453517698,2622.0649632639193,5624.999999999999,236.8638323684603
40,15.4,22.1,10.0,1.7,90.4,14.1,6.55,8.4,566.0474221119382,557.7035221946512,1491.6666666666665,53.20040882016527
41,12.3,19.5,1.6,2.9,70.8,14.1,13.78,5.3,2076.9731777502802,2005.8480369038616,3461.1111111111113,169.7592018376645
42,10.3,23.0,0.0,2.1,69.4,14.2,21.36,4.6,2660.370023283437,2540.5025704869217,5725.000000000001,211.85782869392546
43,13.5,20.3,0.0,1.7,72.9,14.2,13.16,9.1,3856.956011071958,3742.906106119248,3369.4444444444443,167.7041379889404
44,12.3,23.0,0.0,2.7,71.4,14.2,20.42,5.8,3750.3972630359253,3645.626401228125,5061.111111111111,180.0594058363285
45,13.2,25.4,0.0,2.5,71.3,14.2,27.33,3.0,5833.720325573509,5515.714544406476,7050.000000000001,251.64600126622804
