,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,pow_dcv,pow_dca,watt,일사,match_solar,z_score
2020-04-08 09:00,489.34285714285716,558.5,18.91142857142857,10.327142857142862,565.3142857142857,28.08142857142857,15869.564285714288,1.52,422.22222222222223,0.44051628134944143
2020-04-08 10:00,690.0714285714286,705.2,20.91,11.652857142857142,554.6571428571428,39.3442857142857,21810.225714285716,2.25,625.0,1.2321283856406922
2020-04-08 11:00,850.3661971830986,803.8732394366198,22.0830985915493,12.515492957746487,548.8591549295775,47.905633802816894,26292.469014084505,2.82,783.3333333333334,1.8294016174451728
2020-04-08 12:00,941.9285714285714,834.4285714285714,23.654285714285713,13.428571428571432,539.3571428571429,52.56857142857143,28351.11857142857,3.27,908.3333333333334,2.103723244368671
2020-04-08 13:00,952.6857142857143,798.5,26.934285714285718,14.252857142857138,532.4142857142857,53.115714285714276,28279.47,3.42,950.0,2.094175843447075
2020-04-08 14:00,879.3857142857142,697.9857142857143,24.622857142857143,14.771428571428569,535.7857142857143,49.22142857142857,26372.782857142865,3.29,913.8888888888889,1.8401036934802373
2020-04-08 15:00,735.5714285714286,550.1285714285714,27.00571428571428,15.274285714285716,541.0714285714286,41.091428571428565,22230.35714285714,2.91,808.3333333333334,1.2881122400059277
2020-04-08 16:00,517.7887323943662,359.49295774647885,44.61126760563383,15.38169014084507,543.9859154929577,27.946478873239435,15179.93661971831,2.34,650.0,0.3486211928276538
2020-04-08 17:00,279.6714285714286,171.61428571428573,35.39428571428571,13.66428571428571,498.15714285714284,15.551428571428564,7877.887142857146,1.6,444.44444444444446,-0.6244002159024048
2020-04-09 09:00,460.22857142857146,516.3428571428572,21.98999999999999,9.231428571428571,562.2,25.94428571428571,14577.73857142857,1.38,383.3333333333333,0.2683763800339106
2020-04-09 10:00,653.1857142857143,664.5142857142857,26.84714285714286,10.518571428571429,544.5285714285715,37.349999999999994,20329.331428571437,2.11,586.1111111111111,1.0347944934735578
2020-04-09 11:00,808.4857142857143,763.9571428571429,29.935714285714294,12.719999999999999,534.8285714285714,45.19285714285714,24167.217142857153,2.77,769.4444444444445,1.5462050195310295
2020-04-09 12:00,894.2571428571429,795.6714285714286,30.817142857142862,13.577142857142858,526.3857142857142,49.66999999999999,26144.58571428572,3.19,886.1111111111111,1.8096956955455972
2020-04-09 13:00,903.1571428571428,761.4142857142857,32.66428571428572,15.09285714285714,523.1285714285714,50.04571428571428,26179.205714285705,3.31,919.4444444444445,1.8143089210895988
2020-04-09 14:00,827.6056338028169,661.3098591549295,30.100000000000012,15.933802816901405,523.8169014084507,46.685915492957754,24452.099999999995,3.17,880.5555555555555,1.5841665698955618
2020-04-09 15:00,694.5428571428571,524.4714285714285,34.45142857142858,17.314285714285713,528.2571428571429,38.57285714285714,20370.76428571429,2.82,783.3333333333334,1.0403155539857605
2020-04-09 16:00,484.75714285714287,344.74285714285713,49.71571428571429,16.565714285714286,539.3142857142857,26.001428571428573,13994.602857142854,2.25,625.0,0.19067168411352658
2020-04-09 17:00,230.31428571428572,151.97142857142856,32.59428571428571,14.168571428571425,492.04285714285714,12.91,6467.7300000000005,1.55,430.55555555555554,-0.8123081579153404
2020-04-10 09:00,481.12857142857143,546.6857142857143,22.71285714285714,11.807142857142859,561.0857142857143,27.50714285714286,15416.74428571428,1.5,416.6666666666667,0.3801765704645256
2020-04-10 10:00,571.2676056338029,580.5774647887324,31.457746478873233,13.785915492957745,539.6901408450705,32.37746478873238,17463.592957746478,2.18,605.5555555555555,0.6529256917391918
2020-04-10 11:00,656.3428571428572,630.0285714285715,33.575714285714284,15.352857142857147,531.5,36.805714285714295,19569.87428571428,2.52,700.0,0.933594404189771
2020-04-10 12:00,461.9142857142857,440.64285714285717,26.98285714285713,15.131428571428575,541.2,26.13714285714287,14077.214285714292,2.71,752.7777777777778,0.20167992075455463
2020-04-10 13:00,569.8857142857142,516.0428571428571,31.615714285714297,16.644285714285715,528.4857142857143,32.122857142857136,16864.235714285718,3.21,891.6666666666666,0.5730594252597924
2020-04-10 14:00,517.3380281690141,453.056338028169,33.09859154929577,17.233802816901417,520.1267605633802,29.247887323943647,15111.635211267598,2.22,616.6666666666666,0.3395198120605754
2020-04-10 15:00,237.47142857142856,228.62857142857143,25.752857142857145,16.821428571428577,536.8571428571429,14.138571428571431,7598.871428571429,1.63,452.77777777777777,-0.6615799507470409
2020-04-10 16:00,130.77142857142857,133.94285714285715,21.584285714285706,15.734285714285718,459.48571428571427,8.245714285714286,3878.8185714285714,1.0,277.77777777777777,-1.157288872341937
2020-04-10 17:00,81.44285714285714,77.1,20.228571428571428,15.515714285714287,451.4714285714286,5.117142857142856,2393.6914285714283,0.73,202.77777777777777,-1.3551868062391574
2020-04-11 09:00,337.0285714285714,365.72857142857146,19.93000000000001,10.137142857142862,560.6,19.154285714285713,10738.734285714288,1.05,291.6666666666667,-0.24318319923809184
2020-04-11 10:00,432.9714285714286,446.1,23.22285714285713,11.39714285714285,552.9142857142857,24.62571428571429,13605.592857142856,1.63,452.77777777777777,0.13883485947826188
2020-04-11 11:00,582.3380281690141,572.1267605633802,28.725352112676074,13.294366197183095,538.4084507042254,32.67464788732396,17583.105633802814,2.07,574.9999999999999,0.668851137435764
2020-04-11 12:00,687.3913043478261,636.8115942028985,32.29565217391305,15.007246376811594,528.3768115942029,38.310144927536236,20237.22753623188,2.73,758.3333333333334,1.0225213557253483
