,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,pow_dcv,pow_dca,watt,일사,match_solar,z_score
2020-07-25 16:00,181.5,174.5,30.69999999999999,25.88333333333333,544.5833333333334,32.900000000000006,17901.56666666667,0.74,205.55555555555554,-0.7676660587395516
2020-07-25 17:00,120.5,124.33333333333333,26.891666666666666,24.808333333333334,554.5,23.3,12984.008333333333,0.4,111.11111111111111,-0.9652394362527619
2020-07-26 09:00,604.8333333333334,595.1666666666666,40.87500000000001,29.10833333333333,538.0833333333334,77.58333333333333,41798.21666666667,1.91,530.5555555555555,0.19243274064789173
2020-07-26 10:00,974.6666666666666,926.1666666666666,52.366666666666674,33.66666666666667,518.6666666666666,131.625,68253.25833333333,2.58,716.6666666666666,1.25532037309476
2020-07-26 11:00,992.3333333333334,919.6666666666666,47.37500000000001,31.291666666666668,526.6666666666666,139.48333333333332,73471.52500000001,2.99,830.5555555555555,1.4649753482293582
2020-07-26 12:00,990.4545454545455,909.6363636363636,48.73636363636363,31.74545454545454,522.1818181818181,148.45454545454547,77513.42727272726,3.22,894.4444444444445,1.6273673788816385
2020-07-26 13:00,890.0,815.3333333333334,44.324999999999996,30.14166666666667,531.6666666666666,141.775,75371.81666666667,3.42,950.0,1.5413236124275875
2020-07-26 14:00,718.3333333333334,657.5833333333334,40.06666666666666,29.349999999999998,539.4166666666666,124.075,66919.44166666667,3.39,941.6666666666666,1.2017314482760248
2020-07-26 15:00,523.6363636363636,488.45454545454544,37.599999999999994,29.263636363636362,545.2727272727273,98.62727272727274,53760.30909090908,2.85,791.6666666666666,0.6730352759269695
2020-07-26 16:00,310.8333333333333,299.4166666666667,33.78333333333334,28.608333333333338,550.3333333333334,63.61666666666667,35012.2,2.34,650.0,-0.08020992911083391
2020-07-26 17:00,143.5,144.5,29.150000000000002,27.424999999999997,552.0,31.075,17182.874999999996,1.52,422.22222222222223,-0.7965410268332566
2020-07-27 09:00,126.75,132.91666666666666,28.466666666666665,25.516666666666666,546.8333333333334,20.33333333333333,11176.458333333334,0.38,105.55555555555556,-1.0378616065081228
2020-07-27 10:00,156.83333333333334,156.25,28.858333333333334,25.5,554.25,25.549999999999997,14180.091666666665,0.64,177.77777777777777,-0.9171842413906927
2020-07-27 11:00,147.66666666666666,153.33333333333334,28.733333333333334,25.666666666666668,552.75,23.95,13264.916666666666,0.69,191.66666666666666,-0.9539533457935861
2020-07-27 12:00,113.5,114.16666666666667,25.866666666666664,24.266666666666666,555.5,18.683333333333334,10443.800000000001,0.7,194.44444444444446,-1.0672977151758456
2020-07-27 13:00,174.83333333333334,176.91666666666666,27.016666666666666,23.66666666666666,556.75,27.591666666666665,15399.550000000003,1.2,333.3333333333333,-0.8681899061287899
2020-07-27 14:00,92.83333333333333,89.41666666666667,26.125,24.641666666666662,550.5,15.750000000000002,8694.166666666668,0.57,158.33333333333334,-1.1375929600198544
2020-07-27 15:00,91.58333333333333,89.66666666666667,24.558333333333334,23.841666666666665,554.8333333333334,14.316666666666665,7987.008333333332,0.52,144.44444444444446,-1.166004551887759
2020-07-27 16:00,23.5,23.583333333333332,22.925,22.841666666666665,526.2727272727273,5.018181818181818,2662.336363636364,0.23,63.888888888888886,-1.3799345866515453
2020-07-27 17:00,8.666666666666666,8.75,22.58333333333333,22.408333333333335,509.3333333333333,2.75,1405.6166666666666,0.13,36.111111111111114,-1.4304259765420595
