,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,pow_dcv,pow_dca,watt,기온,강수량,풍속,풍향,습도,일조,일사,적설,전운량,지중온도,match_solar,z_score
2020-07-03 14:00,226.53846153846155,216.3846153846154,26.107692307692307,20.876923076923074,515.1538461538462,11.992307692307692,6198.5230769230775,28.0,0.0,4.4,110.0,45.0,0.0,1.78,0.0,8.0,0.0,494.44444444444446,-0.5106229235310841
2020-07-03 15:00,104.83333333333333,99.58333333333333,25.049999999999997,20.674999999999997,482.0,5.800000000000001,2818.733333333333,27.8,0.0,4.5,160.0,46.0,0.5,2.01,0.0,8.0,0.0,558.3333333333333,-0.905659637374162
2020-07-03 16:00,63.0,59.416666666666664,22.46666666666667,19.833333333333332,384.5833333333333,3.5416666666666665,1374.2250000000001,28.1,0.0,5.1,160.0,44.0,0.9,2.27,0.0,8.0,0.0,630.5555555555555,-1.0744967155389296
2020-07-03 17:00,38.0,35.23076923076923,21.007692307692306,19.461538461538467,356.46153846153845,2.1999999999999997,809.7000000000002,26.8,0.0,3.7,140.0,46.0,0.1,0.94,0.0,10.0,0.0,261.1111111111111,-1.1404795481412329
2020-07-04 09:00,408.84615384615387,393.3076923076923,31.361538461538462,21.607692307692307,522.2307692307693,22.692307692307697,11855.938461538462,22.2,0.0,1.4,200.0,86.0,0.0,0.93,0.0,9.0,0.0,258.3333333333333,0.15062731744101118
2020-07-04 10:00,512.6666666666666,492.4166666666667,35.34166666666667,22.808333333333334,511.9166666666667,28.866666666666664,14711.216666666667,23.7,0.0,1.7,270.0,71.0,0.9,2.12,0.0,8.0,0.0,588.8888888888889,0.48435805362094875
2020-07-04 11:00,453.75,436.4166666666667,35.05,23.09166666666667,518.5833333333334,25.61666666666667,13263.491666666663,25.1,0.0,1.2,290.0,61.0,1.0,2.74,0.0,6.0,0.0,761.1111111111111,0.3151450049000422
2020-07-04 12:00,555.5384615384615,534.0769230769231,42.284615384615385,26.007692307692306,499.0769230769231,30.015384615384615,15037.961538461535,25.8,0.0,1.5,180.0,58.0,1.0,3.38,0.0,6.0,0.0,938.8888888888889,0.5225486602004658
2020-07-04 13:00,395.9166666666667,381.0833333333333,35.69166666666667,24.166666666666668,509.0,22.025000000000002,11211.683333333334,26.2,0.0,1.6,320.0,59.0,1.0,2.79,0.0,6.0,0.0,775.0,0.07532546494991794
2020-07-04 14:00,231.66666666666666,222.58333333333334,31.974999999999998,22.700000000000003,491.1666666666667,12.983333333333333,6472.249999999999,27.9,0.0,1.3,290.0,51.0,1.0,2.89,0.0,7.0,0.0,802.7777777777778,-0.478629162857725
2020-07-04 15:00,59.07692307692308,55.76923076923077,24.407692307692308,21.146153846153844,448.0769230769231,3.515384615384615,1602.769230769231,27.2,0.0,2.3,250.0,55.0,0.8,2.23,0.0,8.0,0.0,619.4444444444445,-1.0477840000328522
2020-07-04 16:00,166.58333333333334,159.91666666666666,26.316666666666666,21.475000000000005,494.5,9.108333333333333,4585.608333333334,25.4,0.0,4.5,250.0,66.0,0.6,1.57,0.0,8.0,0.0,436.1111111111111,-0.6991436861688219
2020-07-04 17:00,14.916666666666666,13.5,22.674999999999997,20.416666666666664,391.0,0.9999999999999999,421.175,26.0,0.0,3.5,270.0,64.0,1.0,1.68,0.0,8.0,0.0,466.6666666666667,-1.1858911420242495
2020-07-05 09:00,407.72727272727275,393.0,36.727272727272734,23.66363636363636,507.0,22.91818181818182,11628.28181818182,22.0,0.0,1.1,230.0,84.0,0.5,1.21,0.0,8.0,0.0,336.1111111111111,0.12401834496077808
2020-07-05 10:00,559.4166666666666,539.25,42.81666666666666,25.549999999999997,500.3333333333333,31.79166666666666,15843.541666666666,23.4,0.0,2.1,250.0,73.0,1.0,2.46,0.0,7.0,0.0,683.3333333333334,0.6167065075005873
2020-07-05 11:00,755.0769230769231,726.8461538461538,45.60000000000001,26.923076923076923,494.61538461538464,42.415384615384625,20831.838461538464,25.3,0.0,1.8,250.0,62.0,1.0,2.52,0.0,8.0,0.0,700.0,1.1997488039208197
2020-07-05 12:00,724.3333333333334,702.25,45.75833333333333,25.941666666666663,487.75,41.94166666666667,20421.016666666666,24.9,0.0,1.1,250.0,64.0,0.6,2.14,0.0,7.0,0.0,594.4444444444445,1.151731115208356
2020-07-05 13:00,416.15384615384613,403.0769230769231,37.29230769230769,24.43076923076923,485.7692307692308,23.76153846153846,11490.330769230768,25.2,0.0,1.8,270.0,66.0,0.2,1.14,0.0,8.0,0.0,316.6666666666667,0.10789434519061837
2020-07-05 14:00,407.4166666666667,393.0,38.49166666666667,27.100000000000005,504.5,21.958333333333332,11080.425000000001,26.7,0.0,2.0,250.0,63.0,0.5,2.14,0.0,7.0,0.0,594.4444444444445,0.059983723422101384
2020-07-05 15:00,510.4166666666667,491.8333333333333,41.474999999999994,28.141666666666666,491.6666666666667,26.333333333333332,12879.591666666667,27.2,0.0,1.7,320.0,60.0,0.9,2.96,0.0,8.0,0.0,822.2222222222222,0.27027399044359834
2020-07-05 16:00,293.6923076923077,282.84615384615387,33.96923076923077,26.130769230769225,495.84615384615387,15.515384615384615,7754.169230769232,27.9,0.0,2.1,250.0,63.0,0.8,2.1,0.0,7.0,0.0,583.3333333333334,-0.3287958303861433
2020-07-05 17:00,114.33333333333333,109.66666666666667,27.516666666666666,24.366666666666664,441.4166666666667,6.508333333333333,2908.5416666666665,27.4,0.0,2.9,270.0,66.0,1.0,1.81,0.0,7.0,0.0,502.77777777777777,-0.895162656328814
2020-07-06 09:00,200.53846153846155,192.6153846153846,27.16923076923077,20.884615384615383,510.2307692307692,11.223076923076924,5768.892307692308,25.4,0.0,1.7,70.0,70.0,0.6,1.28,0.0,8.0,0.0,355.55555555555554,-0.5608390435026578
