,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt,reset_match
54,15.9,28.9,,1.1,63.1,14.4,27.17,4.0,3732.2997987927565,4343.255130784709,5138.88888888889,24150.85827967807,3652.182381325131
55,10.9,28.6,0.0,0.9,56.6,14.4,29.94,4.1,4507.313682092555,5255.328772635816,6272.222222222223,29658.201478873245,4457.020774742332
56,15.3,27.8,,0.9,77.3,14.4,20.51,7.9,1643.8382293762575,1897.8915492957747,2144.444444444445,10764.472927565392,1430.3644966616125
57,19.7,30.9,,1.0,76.6,14.4,26.91,3.8,0.0,0.0,0.0,0.0,0.0
58,17.6,31.1,,0.9,72.3,14.4,23.12,6.8,0.0,0.0,0.0,0.0,0.0
59,19.5,30.0,2.5,0.9,77.9,14.4,18.19,8.4,0.0,0.0,0.0,0.0,0.0
60,17.4,29.0,,0.8,71.3,14.5,25.85,4.1,0.0,0.0,0.0,0.0,0.0
61,14.1,32.2,,0.7,63.6,14.5,28.59,0.1,0.0,0.0,0.0,0.0,0.0
62,14.3,33.1,,0.8,67.6,14.5,29.42,1.1,0.0,0.0,0.0,0.0,0.0
63,18.3,32.8,0.4,0.9,75.8,14.5,25.34,6.0,0.0,0.0,0.0,0.0,0.0
64,20.7,31.2,3.2,0.8,85.9,14.5,17.84,7.5,153.53846153846158,171.69230769230768,361.1111111111112,911.796153846154,151.0411517775154
65,21.7,30.2,11.2,0.9,87.5,14.5,18.63,8.4,913.8333333333333,1050.4551282051284,1663.8888888888891,5744.633012820513,1067.8974856421537
66,20.8,27.2,39.6,0.6,91.9,14.5,9.64,9.4,1294.5128205128203,1521.076923076923,2047.2222222222222,9458.984294871798,1483.2564569246172
67,20.0,29.1,11.6,1.2,90.9,14.5,13.21,8.6,1656.6923076923076,1937.3782051282053,2388.888888888889,11881.09391025641,1637.8407294305769
68,17.3,30.4,,0.8,75.1,14.5,28.37,4.3,5063.423076923077,5864.1923076923085,6888.88888888889,32213.977884615386,4812.04772044686
69,16.7,31.8,,0.8,64.9,14.5,28.86,5.3,5060.884615384615,5912.153846153847,7019.444444444445,33344.94903846154,4979.735804889371
70,16.1,26.7,0.5,0.6,77.9,14.5,16.24,9.5,2916.5128205128203,3432.192307692307,3972.2222222222217,20478.937820512823,2898.83024451404
71,16.6,20.4,38.5,0.7,95.9,14.5,3.73,10.0,191.3846153846154,232.29487179487182,933.3333333333334,1567.0679487179489,655.3229992937642
72,17.6,29.2,2.2,1.1,77.1,14.5,24.97,4.0,3575.980769230769,4158.628205128205,4963.888888888889,23685.61987179487,3590.742052932193
73,18.2,28.6,,0.6,80.4,14.5,17.62,6.3,2010.2692307692307,2254.7628205128203,2680.5555555555557,12855.117307692308,1584.4859133911468
