Unnamed: 0,env_slopesolar,env_levelsolar,match_solar,watt,datetime,datemonth,diff1,diff2,reset_match
2020-04-09 09:00,611.3333333333334,516.0,383.33333333333326,57137.11666666666,09,04,228.0000000000001,132.66666666666674,557.1121058777732
2020-04-10 09:00,647.3333333333334,542.0,405.5555555555555,61308.66666666666,09,04,241.77777777777789,136.4444444444445,589.408459841702
2020-04-11 09:00,370.66666666666674,335.8333333333333,227.77777777777774,35437.450000000004,09,04,142.888888888889,108.05555555555557,331.037628130271
2020-04-14 09:00,705.0,596.0,458.33333333333326,66636.26666666666,09,04,246.66666666666674,137.66666666666674,666.1123005060331
2020-04-15 09:00,510.16666666666674,441.83333333333326,375.0,48001.86666666666,09,04,135.16666666666674,66.83333333333326,545.0009731412999
2020-04-16 09:00,640.1666666666666,545.8333333333334,408.33333333333326,59367.91666666666,09,04,231.83333333333337,137.5000000000001,593.4455040871931
2020-04-17 09:00,77.16666666666667,73.0,27.777777777777782,7710.3166666666675,09,04,49.388888888888886,45.222222222222214,40.37044245491111
2020-04-19 09:00,185.0,176.0,152.77777777777774,17369.433333333334,09,04,32.22222222222226,23.222222222222257,222.03743350201103
2020-04-21 09:00,511.83333333333326,441.83333333333326,477.77777777777777,43916.21666666667,09,04,34.055555555555486,-35.944444444444514,694.3716102244709
2020-04-22 09:00,625.5,547.6666666666666,369.4444444444445,59718.45,09,04,256.0555555555555,178.22222222222211,536.9268846503178
2020-04-23 09:00,508.33333333333326,442.5,463.88888888888886,44204.65,09,04,44.4444444444444,-21.388888888888857,674.1863889970153
2020-04-24 09:00,723.0,627.5,497.22222222222223,68832.53333333334,09,04,225.77777777777777,130.27777777777777,722.6309199429088
2020-04-25 09:00,663.5,579.3333333333334,441.66666666666674,62453.81666666668,09,04,221.83333333333326,137.66666666666663,641.8900350330866
2020-04-26 09:00,751.5,655.0,502.77777777777777,70226.66666666666,09,04,248.72222222222223,152.22222222222223,730.705008433891
2020-04-27 09:00,704.1666666666665,614.5,486.11111111111114,64972.55,09,04,218.05555555555537,128.38888888888886,706.4827429609444
2020-04-28 09:00,720.6666666666665,630.6666666666666,486.11111111111114,65906.40000000001,09,04,234.55555555555537,144.5555555555555,706.4827429609444
2020-04-29 09:00,685.1666666666666,597.5,480.5555555555555,62615.31666666668,09,04,204.61111111111114,116.94444444444451,698.408654469962
2020-04-30 09:00,730.6666666666665,638.1666666666666,491.66666666666674,65910.09999999999,09,04,238.99999999999977,146.4999999999999,714.5568314519267
2020-05-01 09:00,319.5,291.1666666666667,250.0,29188.18333333333,09,05,69.5,41.166666666666686,349.00133377792594
2020-05-02 09:00,461.33333333333326,424.16666666666674,272.22222222222223,38524.2,09,05,189.11111111111103,151.9444444444445,380.02367455818603
2020-05-03 09:00,107.0,104.33333333333331,69.44444444444444,9905.583333333334,09,05,37.55555555555556,34.88888888888887,96.94481493831275
2020-05-05 09:00,551.3333333333334,495.16666666666674,316.6666666666667,45254.66666666666,09,05,234.66666666666669,178.50000000000006,442.06835611870616
2020-05-06 09:00,457.66666666666674,407.0,205.55555555555557,42086.63333333333,09,05,252.11111111111117,201.44444444444443,286.95665221740575
2020-05-07 09:00,755.6666666666665,674.1666666666666,566.6666666666666,67317.25,09,05,188.9999999999999,107.5,791.069689896632
2020-05-08 09:00,797.7142857142858,709.4285714285713,563.8888888888888,70807.82857142857,09,05,233.82539682539698,145.53968253968253,787.1918972990994
2020-05-10 09:00,191.66666666666663,182.83333333333331,80.55555555555556,18043.18333333333,09,05,111.11111111111107,102.27777777777776,112.4559853284428
2020-05-11 09:00,672.0,601.0,444.4444444444445,61189.61666666666,09,05,227.5555555555555,156.5555555555555,620.4468156052018
2020-05-12 09:00,682.5,609.8333333333334,488.88888888888886,63114.58333333334,09,05,193.61111111111114,120.94444444444451,682.4914971657217
2020-05-13 09:00,779.1666666666665,695.1666666666665,530.5555555555555,70423.33333333331,09,05,248.61111111111097,164.61111111111097,740.6583861287095
2020-05-15 09:00,62.66666666666666,59.16666666666666,52.77777777777778,6421.333333333332,09,05,9.888888888888879,6.388888888888879,73.67805935311769
2020-05-16 09:00,180.28571428571428,171.42857142857142,125.0,16741.942857142858,09,05,55.28571428571428,46.428571428571416,174.50066688896297
2020-05-17 09:00,363.83333333333326,345.5,233.33333333333331,32997.166666666664,09,05,130.49999999999994,112.16666666666669,325.73457819273085
2020-05-21 09:00,760.8333333333335,688.1666666666665,561.1111111111112,68978.66666666669,09,05,199.72222222222229,127.05555555555532,783.3141047015672
2020-05-22 09:00,517.5,474.0,361.11111111111114,48062.28333333333,09,05,156.38888888888886,112.88888888888886,504.11303767922635
2020-05-23 09:00,731.1666666666665,662.3333333333334,541.6666666666666,65994.28333333334,09,05,189.4999999999999,120.66666666666674,756.1695565188394
2020-05-25 09:00,142.5,134.16666666666666,102.77777777777777,13243.633333333335,09,05,39.72222222222223,31.388888888888886,143.47832610870287
2020-05-26 09:00,528.6666666666666,489.5,505.5555555555555,47262.45,09,05,23.111111111111143,-16.055555555555486,705.7582527509168
2020-05-27 09:00,596.0,539.3333333333334,561.1111111111112,54221.3,09,05,34.8888888888888,-21.77777777777783,783.3141047015672
2020-05-28 09:00,473.0,433.66666666666674,397.22222222222223,40979.88333333333,09,05,75.77777777777777,36.444444444444514,554.5243414471489
2020-05-30 09:00,749.8333333333335,682.1666666666666,550.0,65919.61666666665,09,05,199.83333333333348,132.16666666666663,767.802934311437
2020-05-31 09:00,747.6666666666665,676.6666666666666,550.0,66015.40000000001,09,05,197.66666666666652,126.66666666666663,767.802934311437
