,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt,reset_match
51,13.3,28.5,,2.0,54.4,14.3,26.23,3.0,6436.667337415773,6139.545261597736,6847.222222222223,5391.499058855604,6479.838104472388
52,14.5,27.0,,1.2,53.0,14.4,17.97,9.1,4312.416551313995,4216.654623847755,4425.0,3648.537021115091,4208.887119022441
53,14.7,26.3,0.5,1.5,72.8,14.4,16.58,7.9,3814.192788260833,3724.856431076229,3791.666666666666,3522.743241862649,3121.247244334206
54,17.8,31.2,,2.2,57.5,14.4,25.34,4.1,3686.1156299840513,3529.798775347459,3386.111111111111,2847.304316879453,3888.730289564587
55,14.9,29.0,,2.4,47.1,14.4,27.26,3.9,3782.5928998523823,3650.766074953144,3088.8888888888896,2790.7135503919885,3814.5585581872024
56,16.7,28.5,,2.7,76.6,14.4,20.45,7.3,3977.21948015846,3853.64592755614,4558.333333333334,3572.349356037812,3695.650869746322
57,19.4,31.0,,2.6,73.9,14.4,26.56,4.4,6060.015942028224,5811.873710054187,6766.666666666667,5069.9591521036,6219.179452263876
58,18.9,31.2,,1.7,69.0,14.5,21.02,4.6,4988.672494172493,4807.918997668998,5263.888888888889,4117.829750735026,4935.359815964538
59,19.9,28.4,,3.3,63.3,14.5,20.54,7.5,2503.916666666667,2399.833333333333,3922.222222222222,2381.5728643216075,2845.2438857727907
60,17.6,31.5,,2.3,48.0,14.5,27.66,0.8,5796.704545454546,5526.818181818182,5813.888888888889,4717.920686767168,5952.546775506465
61,15.7,31.8,,1.5,47.6,14.5,27.29,0.3,5171.969696969696,4921.477272727273,4927.777777777778,4052.8190421806,5353.698135307031
62,16.3,33.8,,1.8,54.4,14.5,27.85,0.3,5310.14393939394,5055.121212121212,5033.333333333334,4249.794350540582,5486.861209711407
63,19.6,32.6,,2.0,65.3,14.5,26.94,5.0,5013.121212121211,4794.060606060605,5177.777777777778,4070.470389827927,5436.361494372149
64,21.8,30.2,12.0,2.0,86.8,14.5,15.53,7.4,1842.3863636363635,1794.7424242424245,1961.111111111111,1653.1857925993604,1903.51401310602
65,22.3,30.6,0.7,2.0,84.8,14.5,18.53,7.9,1072.4924242424242,1077.1969696969697,1769.4444444444443,1022.327135678392,1029.1212544338052
66,20.8,28.1,40.0,2.0,93.1,14.5,10.13,10.0,1714.3333333333333,1703.5,1441.6666666666665,1478.3794807370184,1385.7353272964094
67,22.0,28.4,13.1,3.1,88.0,14.5,7.21,8.8,968.3333333333333,995.0,1261.111111111111,971.6589614740368,803.9686532649528
68,19.5,32.2,,2.1,61.9,14.5,28.6,4.3,5478.878787878788,5264.886363636362,4794.444444444444,4182.611207552915,5248.994039278252
69,19.8,31.5,,2.5,57.0,14.5,28.98,5.1,6378.583333333334,6180.590909090909,7075.0,5314.0555428658445,6660.29140790766
70,17.7,28.8,0.1,1.2,62.9,14.5,16.7,9.4,3839.7272727272725,3768.6136363636365,4133.333333333333,3117.9968174204355,4145.400270700452
71,17.0,20.2,29.5,2.5,95.4,14.5,4.0,9.8,1051.6666666666667,1034.4999999999998,980.5555555555555,992.4454773869345,925.1687315005713
72,19.2,28.4,0.0,3.1,70.6,14.6,25.38,4.5,3717.4393939393935,3624.651515151515,4147.222222222223,3255.739393939394,4032.5749250318836
73,19.6,28.6,,2.1,70.6,14.6,24.66,6.6,5013.166666666667,4864.916666666667,4950.0,4299.106197654942,4651.434235510415
74,17.8,28.9,,2.6,68.3,14.5,30.32,2.0,2743.787878787879,2646.69696969697,3525.0,2424.2635373838893,2916.540236488801
75,15.8,30.6,,1.5,68.4,14.5,29.83,0.1,6111.128787878788,5905.39393939394,6027.777777777778,4910.982815593117,6223.2829050647715
76,18.1,32.1,,1.6,65.9,14.5,29.01,4.3,5407.507575757576,5245.40909090909,4975.0,4194.444594183037,5404.14938188693
77,19.4,27.4,17.8,1.4,80.3,14.6,,9.3,2105.719696969697,2101.924242424242,1872.2222222222222,1767.445682960256,2066.4651410454285
78,20.9,24.9,28.1,1.9,97.1,14.5,,9.5,1004.0000000000001,1005.9166666666666,397.2222222222223,901.0685929648241,244.15915843771006
79,21.5,32.0,,2.5,73.8,14.5,28.49,2.5,6270.704545454547,6084.136363636365,6622.222222222223,5106.37797319933,6419.959574104466
80,20.5,31.6,,1.5,75.4,14.5,20.35,6.8,5179.772727272726,5049.159090909091,5027.777777777777,4122.33320389828,4788.143992712993
81,20.4,33.7,,1.5,75.3,14.5,23.95,3.4,3254.689393939394,3189.977272727273,3294.444444444444,2627.040688289934,3183.766012960745
82,19.5,27.5,70.4,1.9,88.0,14.5,9.72,8.8,2074.871212121212,2068.7272727272725,2322.222222222222,1751.8748439165527,2420.536962569728
