,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt,reset_match
18,6.3,17.8,0.0,1.3,41.5,13.6,19.49,4.4,4322.828772635815,4196.752112676056,3661.111111111111,797.8531733256683,4047.4272920271196
19,6.3,16.7,0.0,1.3,42.0,13.6,19.25,4.8,0.0,0.0,0.0,0.0,0.0
20,4.3,20.6,,1.5,41.6,13.6,26.21,0.3,0.0,0.0,0.0,0.0,0.0
21,7.5,22.1,,1.1,43.0,13.7,25.14,0.0,0.0,0.0,0.0,0.0,0.0
22,7.0,24.0,,1.1,48.6,13.7,26.04,1.5,0.0,0.0,0.0,0.0,0.0
23,15.7,28.3,,1.3,58.0,13.8,25.05,3.5,0.0,0.0,0.0,0.0,0.0
24,18.1,24.0,0.2,0.6,71.6,13.8,7.28,8.9,0.0,0.0,0.0,0.0,0.0
25,15.8,23.6,0.0,1.4,68.8,13.8,12.2,7.3,0.0,0.0,0.0,0.0,0.0
26,16.2,27.1,,1.1,56.5,13.9,20.93,5.1,5501.794192155362,5325.3561861970775,5372.222222222222,1045.3264267441652,5276.805467190093
27,12.3,22.4,0.4,1.0,67.8,13.9,9.55,7.8,1672.7991076896162,1762.5425859504858,1697.2222222222222,332.21842148126854,1856.1816632912544
28,11.7,26.9,,1.1,49.3,13.9,27.07,2.6,7069.3349079987165,6764.706389058991,6872.222222222223,1302.7229130268154,6795.124057889956
29,12.2,26.0,,1.5,23.0,13.9,25.82,5.8,5637.374253882116,5580.645361338149,5666.666666666666,1044.7010976097245,5805.050490328171
30,13.8,26.8,0.8,1.4,28.1,14.0,24.36,7.1,238.6490275893261,248.24242424242425,555.5555555555555,45.97587387736642,380.38163364411446
31,12.8,18.4,9.2,1.4,86.1,14.0,2.58,8.6,610.9633802816902,629.0247484909457,625.0,133.68217595427637,646.4923558371445
32,12.8,17.0,0.8,0.9,81.3,14.0,4.02,9.3,1095.848490945674,1137.362374245473,863.8888888888888,235.11383261755412,896.7126209677753
33,14.6,23.1,0.0,1.6,49.4,14.1,23.06,7.6,5671.768209255533,5498.437022132797,5666.666666666667,1070.3189404334912,5649.727889711382
34,11.2,19.9,0.8,1.7,60.5,14.1,16.51,6.6,4624.932193158954,4602.121126760563,3525.0,883.2905605058924,3703.5818121679267
35,8.5,22.7,,1.5,44.8,14.1,28.82,0.6,6981.629778672032,6789.9344064386305,7094.444444444444,1314.7830341260815,7060.0479587953905
36,9.5,26.0,,0.8,35.9,14.2,22.95,8.0,5874.925553319919,5832.159154929577,5944.444444444443,1081.6225221723716,6039.404382312934
37,14.4,19.0,14.7,1.3,74.5,14.2,2.67,8.8,625.582776368355,659.6838057329484,633.3333333333334,152.27226339402878,628.9012712943609
38,14.6,22.2,0.0,0.9,76.9,14.2,13.0,7.6,633.4588531187123,647.5066398390342,1163.8888888888887,251.77876401264731,997.6955891401643
39,16.3,26.6,,0.9,65.0,14.2,25.36,3.1,0.0,0.0,0.0,0.0,0.0
40,14.9,26.7,33.8,1.9,71.4,14.3,18.26,8.1,404.17142857142863,403.74999999999994,691.6666666666666,151.4123469387755,672.4865091208288
41,9.5,14.8,8.7,1.4,74.0,14.3,8.78,7.4,1080.9734406438633,1092.3797786720322,1241.6666666666667,450.9592792989823,1202.4621315025397
42,7.2,16.7,,1.1,67.5,14.3,17.24,7.3,500.4857142857143,502.2928571428572,780.5555555555557,202.87765306122452,809.6112758495768
43,8.2,22.2,,0.8,57.6,14.3,26.56,4.3,5840.316662292596,5820.251048318899,5919.444444444444,1110.2437460899857,6142.08098237304
44,13.3,23.6,0.0,1.1,64.0,14.4,17.84,8.0,4870.761569416498,4924.66861167002,4541.666666666666,928.7306050172673,4699.1436825236915
45,15.5,25.8,0.0,1.2,57.6,14.4,25.02,6.1,6606.286116700201,6552.0110663983905,6297.222222222221,1212.3766899742136,6251.970683132672
46,15.8,22.2,10.4,1.7,67.0,14.4,14.84,7.1,2623.4458752515084,2535.7229376257546,2525.0,497.99329836159825,2345.689417511959
47,13.7,20.1,,0.8,75.6,14.4,13.11,7.8,2823.174245472838,2871.4678068410462,3186.1111111111113,570.2539522851393,3076.10119896327
48,14.6,24.4,0.0,1.1,64.0,14.5,21.57,8.0,5752.189939637828,5653.750905432596,5725.0,1040.4792498469074,5686.0263856875545
49,12.6,24.2,,1.3,52.9,14.5,29.56,2.5,6409.104024144869,6353.235814889336,6672.222222222223,1185.486398390342,6901.4578710217575
50,13.0,24.0,0.2,0.9,55.3,14.5,23.88,5.3,5284.766229259616,5222.833849473654,4386.111111111111,953.2946066252587,4579.642796763536
51,12.7,26.8,,1.0,54.1,14.5,22.42,1.9,5023.989738430582,4946.020120724346,5208.333333333333,929.9211885599314,4991.112474685292
52,14.6,29.1,,0.9,47.1,14.5,29.51,1.3,6549.993809918335,6509.9126701384785,6430.555555555557,1160.8239645858343,6574.730934462098
53,14.9,28.5,0.0,1.4,50.9,14.6,25.66,6.9,5057.020523138833,5155.977665995976,5088.888888888889,913.2474992814028,5397.116505432235
54,16.2,25.5,1.8,2.0,53.1,14.6,27.34,4.9,6857.771428571429,6812.061770623742,6861.111111111111,1274.3726889910893,6770.802253523783
55,13.5,25.0,0.0,1.2,51.5,14.6,12.15,8.4,3280.333601609658,3347.017505030181,3088.888888888889,638.3200107893737,3055.9692066501616
56,16.9,27.5,1.1,1.1,66.6,14.6,23.91,4.6,5029.3943661971825,4871.902213279678,5252.777777777777,924.5413298424085,4979.95282552756
57,19.8,30.0,,1.6,59.0,14.6,25.37,3.8,6339.286921529175,6320.57323943662,6347.222222222222,1164.782017821213,6229.579356250156
58,20.6,29.2,,1.2,55.1,14.6,25.27,4.3,4678.831991951711,4674.5275653923545,4880.555555555557,849.0105674419186,4950.79304439554
59,18.0,30.4,0.0,1.4,48.5,14.6,24.01,4.8,5472.71569416499,5528.1297786720315,5341.666666666667,996.9552877513527,5472.654719728241
60,20.2,29.0,,1.2,50.3,14.7,26.52,3.0,4555.516700201207,4411.266800804829,5169.444444444445,838.4771931589538,4853.370471162974
61,19.7,31.1,,0.9,58.6,14.7,26.77,1.3,6434.459154929578,6421.911066398389,6636.111111111111,1158.3417114904748,6555.756312807247
62,20.1,33.4,,0.9,50.3,14.7,27.83,3.3,6036.355331991951,6075.273843058351,6199.999999999999,1066.913997712986,6279.392885418578
63,21.0,32.5,7.9,1.0,56.4,14.7,23.75,7.3,4911.455533199195,4961.522132796781,4694.444444444444,872.5418616877245,4961.659136872986
64,21.8,31.9,1.3,1.1,62.9,14.7,0.0,5.0,0.0,0.0,0.0,0.0,0.0
65,21.3,28.1,0.0,0.8,67.3,14.7,1.26,9.6,712.097786720322,748.4706237424548,230.55555555555557,141.20131647025005,157.69795300738417
66,20.6,32.4,0.0,1.3,56.5,14.7,28.22,6.5,6557.361569416499,6560.386317907444,6505.555555555555,1174.7752658810002,6647.826690976996
67,20.9,28.7,4.8,1.6,68.5,14.7,18.91,6.0,3452.1468608753976,3376.3740092730295,3841.666666666668,658.0846004599023,3483.813399769528
68,18.4,28.1,,1.4,52.6,14.7,23.48,6.4,5570.858959554427,5693.816811010995,5805.555555555555,1030.6058611086812,5675.3010028964545
69,18.0,28.8,,1.1,51.4,14.7,26.14,5.5,6038.237826961771,6067.593360160966,6050.000000000001,1098.8197671744751,6091.137401427331
70,18.5,29.5,,1.2,56.5,14.7,22.53,7.9,5489.2953722334,5508.391549295774,5500.0,1001.7188516815177,5425.129448848594
71,20.0,25.0,,0.8,63.3,14.8,9.28,8.9,1744.8949698189133,1816.0519114688127,1511.1111111111113,339.08894670544277,1520.0263319086205
72,19.2,29.2,0.0,1.3,55.6,14.7,22.89,7.0,3903.4046277666002,3940.5661971830987,4177.777777777778,705.3648979591836,4143.147224679574
73,19.2,30.7,,1.3,56.3,14.7,26.26,3.8,5468.465191146882,5535.060965794769,5491.666666666666,997.509088818626,5350.1585048721245
74,21.5,32.4,0.0,1.1,51.4,14.7,25.98,5.4,6379.460160965795,6386.990140845071,6330.555555555555,1133.991529640025,6267.452441918603
75,21.0,34.5,,1.0,48.5,14.7,28.52,1.8,6856.730784708249,6896.417706237424,6958.333333333333,1200.5737190222078,6889.991103662892
76,22.9,33.7,,1.0,50.5,14.8,21.25,7.4,5376.717948717949,5533.858974358975,5386.111111111111,953.7489926739926,5513.566776204452
77,19.7,27.5,4.4,2.4,64.5,14.7,3.64,8.8,971.1538461538461,995.974358974359,844.4444444444443,200.98415750915748,869.6434702965273
78,19.8,24.0,1.3,1.2,77.1,14.7,5.15,9.5,1026.5320512820513,1072.00641025641,1283.3333333333333,215.24198301698303,1309.8822002075215
79,19.2,26.2,1.3,1.4,72.4,14.7,9.97,8.3,2355.141025641026,2327.903846153846,1683.3333333333333,452.2332417582417,1422.3082257805527
80,20.2,28.8,0.0,0.8,63.6,14.7,18.42,7.8,3290.5,3300.089743589743,3302.7777777777783,624.2408882783883,3197.8309066331144
81,20.1,30.5,,1.1,61.1,14.7,25.03,2.0,3862.935897435897,3841.185897435897,3949.9999999999995,720.1284798534798,3770.8993754882104
82,20.0,27.8,7.9,1.3,66.4,14.7,11.82,8.4,1599.7948717948718,1664.2435897435896,1991.6666666666667,307.6201923076923,2026.7149589708026
83,17.4,25.0,17.8,2.0,70.0,14.7,8.13,9.4,930.2692307692308,965.4487179487178,1363.8888888888887,191.33594322344325,1309.6620764227066
84,17.1,23.1,1.6,0.6,78.3,14.7,9.1,8.0,1846.4487179487178,1931.576923076923,1972.222222222222,374.1817765567766,1897.1850926886407
85,17.9,29.9,,1.1,60.0,14.7,28.53,5.0,5251.583333333333,5326.903846153846,5547.222222222223,964.5997252747254,5735.962972845679
86,20.6,28.9,0.0,1.2,53.8,14.7,19.81,8.3,1717.5448717948718,1785.1153846153845,2380.5555555555557,329.18653846153853,2432.7589326500374
87,17.7,28.4,0.8,1.1,59.0,14.7,23.7,7.8,3958.769230769231,4057.1794871794873,3908.3333333333335,720.1639652014652,4255.8125533819575
88,18.6,28.4,,1.0,61.6,14.7,23.11,7.0,3415.897435897436,3329.5192307692305,3011.1111111111113,625.199284049284,2761.1412803632097
89,20.2,31.5,,1.1,60.5,14.6,23.07,6.3,2252.8205128205127,2304.826923076923,1938.888888888889,409.055402930403,2088.377922586346
90,22.1,27.8,0.1,1.4,64.3,14.6,15.32,6.9,1560.8846153846152,1623.1602564102564,1269.4444444444443,301.244184981685,1357.5869200474428
91,20.6,30.8,,1.2,61.6,14.6,24.65,4.6,4876.5,4816.352564102564,4897.222222222223,872.8051739926741,4672.726261841285
92,21.7,33.0,,1.3,53.9,14.6,23.26,4.5,5049.8974358974365,5057.134615384615,4716.666666666666,893.2264194139195,4823.9694322630985
93,22.7,28.5,0.2,1.5,64.1,14.6,12.82,9.2,1619.2307692307695,1599.9871794871797,1569.4444444444443,312.12188644688644,1234.2780141355452
94,21.9,29.2,,1.6,60.1,14.6,12.5,,2528.1923076923076,2552.5384615384614,2108.3333333333335,474.26794871794874,2057.110712206853
95,19.8,25.8,4.4,1.1,68.4,14.5,8.24,,1691.8269230769229,1770.3589743589741,1972.2222222222222,329.82490842490836,2080.3925036000237
96,17.5,20.1,47.8,1.6,84.9,14.5,3.77,7.7,806.5064102564103,851.8333333333334,947.2222222222223,164.78809523809528,993.0404454630531
97,16.6,23.9,13.3,1.4,71.3,14.5,11.55,8.1,1570.8910256410256,1629.474358974359,1950.0,308.21295787545785,1857.892804583055
98,17.2,26.2,2.3,0.8,72.0,14.5,19.58,6.4,2706.5769230769233,2731.1346153846157,2422.2222222222217,521.3780178155179,2577.9651309893993
99,18.1,29.4,7.4,0.8,71.8,14.5,24.31,6.6,4527.49358974359,4477.692307692308,5005.555555555557,825.1404761904763,4768.837476093984
100,20.1,30.4,0.1,0.7,69.3,14.5,20.52,4.1,2966.698717948718,3014.2564102564106,2952.7777777777774,524.2396062271063,3313.5867755444797
101,21.0,29.8,,0.9,66.3,14.4,21.11,5.5,3728.461538461538,3706.583333333333,3947.222222222222,677.3279761904762,3900.7123894790684
102,20.7,29.6,1.3,2.3,65.9,14.4,11.07,9.9,1630.4423076923078,1659.1538461538462,1652.7777777777778,311.98214285714283,1622.2957377408475
103,22.1,28.8,7.7,1.7,78.3,14.4,4.96,9.5,1051.4679487179487,1066.4166666666665,1305.5555555555557,219.64130036630036,1370.1827904281436
104,22.0,30.9,,0.8,65.9,14.4,21.4,5.9,3325.544871794872,3354.916666666666,2941.666666666667,576.6823260073261,3045.906317786868
105,21.9,26.3,8.4,0.7,81.5,14.3,7.39,10.0,904.8846153846154,943.8205128205128,1547.2222222222224,194.15787545787546,1478.7721643424693
106,19.0,23.6,38.1,1.2,83.3,14.3,3.41,10.0,783.1794871794873,810.3333333333334,913.8888888888889,162.99519230769232,989.2018371841684
107,18.5,25.3,3.5,1.5,75.1,14.3,6.47,8.3,1618.1858974358972,1677.5641025641025,1633.3333333333335,319.5041292041292,1617.1730825826019
108,20.3,26.8,0.3,1.3,73.9,14.3,12.8,8.9,2036.3782051282049,2092.3076923076924,1794.4444444444443,400.5441391941393,2000.19623345979
109,20.5,29.1,0.0,0.8,70.5,14.2,16.98,8.4,1878.6666666666665,1924.6153846153848,2277.777777777778,345.4068223443224,2412.063969478706
110,22.1,27.5,0.0,0.9,71.6,14.2,10.25,10.0,1556.929487179487,1617.6602564102566,1358.3333333333333,299.745695970696,1300.8697440024298
111,22.2,26.6,3.0,0.7,78.9,14.2,7.85,9.9,2488.234615384615,2553.9000000000005,1947.2222222222222,485.8688761238761,1935.9851176154286
112,22.4,27.8,50.4,0.9,80.4,14.2,0.0,10.0,967.8076923076924,1011.1346153846152,0.0,193.53923992673995,0.0
113,23.0,28.5,12.9,0.7,79.8,14.1,0.0,8.6,264.03846153846155,287.0384615384615,0.0,49.33919413919414,0.0
114,22.4,29.8,1.1,0.8,74.8,14.1,0.0,6.5,0.0,0.0,0.0,0.0,0.0
115,22.3,30.1,33.9,0.9,78.0,14.1,10.76,9.0,2145.698717948718,2219.9102564102564,2008.3333333333333,396.5170787545788,2191.8181570733714
116,22.8,28.3,93.2,0.7,85.0,14.0,6.44,9.3,945.6666666666664,958.3269230769231,1183.3333333333333,182.81446886446886,1141.3012334882044
117,22.4,26.7,40.4,1.0,84.5,14.0,2.08,9.6,533.7564102564102,549.7564102564102,472.2222222222222,109.26314102564105,596.686550825484
118,23.0,30.7,29.8,1.1,79.1,14.0,13.54,9.0,2710.6858974358975,2677.9487179487173,2438.8888888888887,498.753663003663,2605.7681690975055
119,23.9,27.6,8.5,0.6,81.9,13.9,4.83,9.3,1032.4807692307693,1057.0448717948718,1058.3333333333335,204.62971611721613,1078.9470076615637
120,23.2,26.8,56.5,2.0,83.1,13.9,4.07,9.8,526.5833333333333,533.9551282051282,894.4444444444446,114.61959706959705,796.4993846173995
121,22.0,25.8,2.8,0.5,86.5,13.9,6.13,9.6,1089.9294871794873,1145.3589743589746,1394.4444444444448,217.44844322344326,1576.1027046447734
122,21.2,25.6,43.9,0.6,89.3,13.8,5.91,9.5,420.60256410256403,437.5384615384615,430.55555555555554,90.73040293040292,397.01086070088087
123,23.0,27.7,18.2,1.1,85.0,13.8,5.4,9.1,1389.153846153846,1420.301282051282,1172.2222222222222,272.4029304029304,1182.9021165042252
124,23.5,28.8,22.7,0.6,89.9,13.8,6.48,8.0,609.8076923076924,620.1153846153846,502.77777777777777,122.80787545787543,552.4806488697326
