,일시,총발전량(kWh),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),합계 일사량(w/m2)
66,2017-09-05,1326,18.1,22.8,0.0,1.0,82.8,12.8,3.81,9.6,1058.3333333333333
67,2017-09-06,1067,18.5,23.1,0.1,0.8,88.8,12.8,3.45,9.9,958.3333333333334
68,2017-09-07,4650,17.2,27.8,0.0,1.2,84.6,12.7,14.1,4.0,3916.6666666666665
69,2017-09-08,4710,17.0,29.3,0.0,1.1,77.6,12.7,16.86,3.9,4683.333333333333
70,2017-09-09,3384,17.0,29.4,0.0,0.8,85.6,12.7,11.62,5.3,3227.777777777778
71,2017-09-10,1440,16.6,26.6,0.0,0.9,87.5,12.6,5.73,8.6,1591.6666666666667
72,2017-09-11,1934,16.9,23.4,14.6,1.8,89.9,12.6,6.12,6.6,1700.0
73,2017-09-12,4646,14.4,26.3,0.0,1.4,79.3,12.6,16.85,0.4,4680.555555555556
74,2017-09-13,4883,13.5,27.0,0.0,1.4,72.1,12.5,17.62,0.0,4894.444444444444
75,2017-09-14,4475,12.7,28.0,0.0,1.7,70.9,12.5,16.87,0.1,4686.111111111111
76,2017-09-15,4310,17.6,27.2,0.0,2.3,61.1,12.4,16.26,4.5,4516.666666666667
77,2017-09-16,3445,16.2,25.9,0.0,2.5,62.1,12.4,13.68,3.8,3800.0
78,2017-09-17,4372,16.9,27.1,0.0,2.5,68.8,12.4,15.66,2.9,4350.0
79,2017-09-18,4425,14.4,26.7,0.0,1.4,81.8,12.3,14.93,1.8,4147.222222222223
80,2017-09-19,2986,18.1,26.8,0.0,3.1,88.6,12.3,7.15,6.8,1986.111111111111
81,2017-09-20,4656,12.6,23.2,0.0,2.0,66.4,12.2,16.95,2.1,4708.333333333333
82,2017-09-21,4112,11.2,25.8,0.0,1.0,76.6,12.2,16.12,1.1,4477.777777777778
83,2017-09-22,3934,12.3,25.2,0.0,1.4,79.3,12.2,15.14,3.0,4205.555555555556
84,2017-09-23,3646,14.2,25.2,0.0,1.5,89.4,12.1,10.95,7.9,3041.6666666666665
85,2017-09-24,2198,18.8,26.4,0.0,1.7,92.0,12.1,8.52,8.0,2366.6666666666665
86,2017-09-25,3483,19.0,28.6,0.0,1.4,79.8,12.1,13.03,3.4,3619.4444444444443
87,2017-09-26,3149,16.3,30.2,0.0,1.4,75.3,12.0,11.7,5.1,3250.0
88,2017-09-27,2875,16.3,25.1,22.9,2.3,82.1,12.0,8.45,7.9,2347.222222222222
89,2017-09-28,5138,11.7,24.0,0.0,2.9,60.4,11.9,14.97,2.9,4158.333333333333
90,2017-09-29,4256,7.9,21.2,0.0,1.3,68.3,11.9,13.03,4.0,3619.4444444444443
91,2017-09-30,4002,10.6,25.0,0.0,1.4,80.0,11.9,14.39,1.4,3997.222222222222
92,2017-10-01,1099,13.4,19.0,11.2,1.7,88.5,11.8,2.62,9.4,727.7777777777778
93,2017-10-02,4472,15.5,25.3,5.1,2.5,77.9,11.8,11.61,3.4,3225.0
94,2017-10-03,3950,13.3,20.4,0.0,2.4,58.9,11.7,10.84,4.8,3011.1111111111113
95,2017-10-04,4502,10.2,21.0,0.0,2.1,63.5,11.7,13.34,4.1,3705.5555555555557
96,2017-10-05,2957,10.5,21.9,0.0,0.9,76.4,11.7,7.36,7.5,2044.4444444444443
97,2017-10-06,2536,13.8,22.2,0.0,1.6,74.9,11.6,9.31,6.6,2586.1111111111113
98,2017-10-07,3280,12.8,25.4,0.0,1.1,82.3,11.6,10.91,3.9,3030.5555555555557
99,2017-10-08,3897,15.3,25.8,0.0,1.3,83.6,11.6,11.77,3.3,3269.4444444444443
100,2017-10-09,4212,15.3,25.8,0.0,1.2,85.8,11.5,11.93,3.8,3313.8888888888887
101,2017-10-10,1897,16.8,24.9,0.2,1.6,91.6,11.5,6.96,9.0,1933.3333333333333
102,2017-10-11,1155,13.0,20.4,8.2,2.7,84.6,11.4,4.82,9.9,1338.888888888889
103,2017-10-12,1305,5.8,14.0,0.8,1.3,80.4,11.4,4.11,6.8,1141.6666666666667
104,2017-10-13,3867,4.0,17.4,0.0,1.4,69.4,11.4,14.89,3.3,4136.111111111111
105,2017-10-14,3877,6.1,19.8,0.0,1.8,58.5,11.3,14.3,5.0,3972.222222222222
106,2017-10-15,3759,8.3,20.9,0.0,1.7,56.5,11.3,13.42,5.5,3727.777777777778
107,2017-10-16,2524,11.9,20.6,0.0,1.5,62.5,11.3,8.64,7.3,2400.0
108,2017-10-17,3847,7.7,21.9,0.0,1.7,64.0,11.2,14.89,2.6,4136.111111111111
109,2017-10-18,1223,10.9,18.7,0.0,1.7,61.9,11.2,4.78,9.1,1327.7777777777778
110,2017-10-19,3177,11.0,21.5,0.0,1.8,68.1,11.1,13.14,2.6,3650.0
111,2017-10-20,3561,9.4,22.9,0.0,1.5,71.3,11.1,14.69,0.3,4080.5555555555557
112,2017-10-21,3535,10.0,22.6,0.0,1.8,72.5,11.1,14.25,0.0,3958.3333333333335
113,2017-10-22,3742,9.3,23.1,0.0,2.8,57.4,11.0,14.18,1.0,3938.8888888888887
114,2017-10-23,3509,7.5,18.8,0.0,1.8,61.1,11.0,13.61,1.1,3780.5555555555557
115,2017-10-24,3393,6.3,19.8,0.0,1.0,76.3,10.9,12.27,2.4,3408.3333333333335
116,2017-10-25,3536,4.9,19.7,0.0,0.9,80.3,10.9,13.86,2.6,3850.0
117,2017-10-26,2403,6.4,20.3,0.0,0.8,71.8,10.9,10.04,7.9,2788.8888888888887
118,2017-10-27,3206,10.5,21.5,0.0,1.5,68.1,10.8,12.39,2.8,3441.6666666666665
119,2017-10-28,3275,11.0,23.2,0.0,1.8,72.1,10.8,13.38,0.0,3716.6666666666665
120,2017-10-29,3260,8.0,16.7,0.0,4.0,60.9,10.8,10.95,0.6,3041.6666666666665
121,2017-10-30,3703,1.9,12.2,0.0,2.1,54.8,10.7,15.12,0.0,4200.0
122,2017-10-31,3471,0.4,16.3,0.0,1.0,77.6,10.7,8.97,2.0,2491.6666666666665
123,2017-11-01,2097,8.6,17.2,0.0,1.3,85.8,10.7,2.83,0.0,786.1111111111111
124,2017-11-02,1692,9.0,18.7,0.0,1.2,88.9,10.6,4.23,0.0,1175.0
125,2017-11-03,2026,8.4,15.7,1.7,3.2,72.6,10.6,5.93,0.0,1647.2222222222222
126,2017-11-04,3051,1.2,12.6,0.0,1.9,70.0,10.6,7.28,0.0,2022.2222222222222
127,2017-11-05,3081,0.0,15.0,0.0,0.9,79.5,10.5,7.71,0.0,2141.6666666666665
128,2017-11-06,2970,2.2,16.1,0.0,0.9,83.1,10.5,12.78,0.0,3550.0
129,2017-11-07,2875,4.7,20.2,0.4,1.1,82.3,10.5,6.12,0.0,1700.0
130,2017-11-08,2872,6.5,16.8,0.0,2.6,70.8,10.4,7.24,0.0,2011.111111111111
131,2017-11-09,2884,0.9,15.8,0.0,0.8,63.5,10.4,7.63,0.0,2119.4444444444443
132,2017-11-10,1022,2.8,16.3,4.3,3.3,72.6,10.4,2.59,0.0,719.4444444444445
133,2017-11-11,3228,-0.1,10.0,0.0,2.5,62.4,10.3,8.18,0.0,2272.222222222222
134,2017-11-12,2876,-1.5,12.1,0.0,0.9,78.1,10.3,7.51,0.0,2086.1111111111113
135,2017-11-13,1246,0.7,13.6,0.0,2.0,80.1,10.3,2.78,0.0,772.2222222222222
136,2017-11-14,2626,4.0,12.7,0.0,2.9,50.4,10.3,7.31,0.0,2030.5555555555557
137,2017-11-15,1868,4.1,9.4,0.0,3.5,53.5,10.2,5.73,0.0,1591.6666666666667
138,2017-11-16,2511,-2.0,7.1,0.0,1.5,61.3,10.2,7.46,0.0,2072.222222222222
139,2017-11-17,575,-3.2,9.2,0.3,1.7,63.6,10.2,1.63,0.0,452.77777777777777
140,2017-11-18,2675,-0.6,5.1,0.0,4.2,51.5,10.1,7.96,0.0,2211.1111111111113
141,2017-11-19,2268,-3.9,4.3,0.0,1.6,61.9,10.1,5.74,0.0,1594.4444444444443
142,2017-11-20,1662,-2.3,8.1,0.2,1.6,77.5,10.1,5.38,0.0,1494.4444444444443
143,2017-11-21,2352,-4.7,8.5,0.0,1.0,71.0,10.1,7.44,0.0,2066.6666666666665
144,2017-11-22,1375,-1.0,13.0,0.9,2.7,68.4,10.0,3.94,0.0,1094.4444444444443
145,2017-11-23,1188,-3.4,7.1,2.4,2.8,67.4,10.0,4.92,0.0,1366.6666666666667
146,2017-11-24,1,-2.2,3.9,5.2,1.7,88.4,10.0,4.33,0.0,1202.7777777777778
147,2017-11-25,730,-3.2,11.9,9.3,3.4,86.3,10.0,3.83,0.0,1063.888888888889
148,2017-11-26,2068,-2.0,10.4,0.0,1.6,80.6,9.9,5.31,0.0,1475.0
149,2017-11-27,2316,-4.0,8.9,0.0,1.0,72.3,9.9,7.33,0.0,2036.111111111111
150,2017-11-28,1501,-1.4,11.7,0.0,1.2,83.4,9.9,5.32,0.0,1477.7777777777778
151,2017-11-29,2403,0.8,9.7,0.0,2.8,57.9,9.9,6.01,0.0,1669.4444444444443
152,2017-11-30,2366,-1.9,2.4,0.0,3.5,48.6,9.9,6.77,0.0,1880.5555555555557
153,2017-12-01,2321,-4.9,4.6,0.0,1.8,58.5,9.8,6.97,0.0,1936.111111111111
154,2017-12-02,1503,-4.4,7.5,0.0,1.4,74.6,9.8,4.71,0.0,1308.3333333333333
155,2017-12-03,1125,1.0,10.7,1.8,1.2,83.3,9.8,2.64,0.0,733.3333333333334
156,2017-12-04,2292,-1.4,6.6,0.0,4.0,62.4,9.8,6.26,0.0,1738.888888888889
157,2017-12-05,2157,-4.8,1.5,0.0,2.2,59.3,9.8,5.9,0.0,1638.888888888889
158,2017-12-06,0,-4.0,5.9,7.3,1.6,89.6,9.8,5.33,0.0,1480.5555555555557
159,2017-12-07,1463,0.0,6.2,1.4,2.3,69.3,9.8,4.94,0.0,1372.2222222222222
160,2017-12-08,1930,-2.2,2.0,0.1,2.8,62.6,9.7,6.5,0.0,1805.5555555555557
161,2017-12-09,1349,-2.9,5.1,0.2,0.9,76.5,9.7,4.07,0.0,1130.5555555555557
162,2017-12-10,1265,-1.4,9.9,1.1,3.4,76.3,9.7,2.46,0.0,683.3333333333334
163,2017-12-11,1282,-5.6,0.5,0.3,4.2,62.4,9.7,3.42,0.0,950.0
164,2017-12-12,2021,-8.3,-2.6,0.0,2.5,64.6,9.7,5.38,0.0,1494.4444444444443
165,2017-12-13,2243,-9.3,-1.0,0.0,1.8,66.0,9.7,6.87,0.0,1908.3333333333333
166,2017-12-14,1484,-11.0,-0.5,0.0,1.1,60.1,9.7,4.61,0.0,1280.5555555555557
167,2017-12-15,1170,-9.0,3.6,0.4,1.2,66.9,9.7,3.09,0.0,858.3333333333334
168,2017-12-16,1801,-4.2,1.0,0.0,3.3,54.4,9.7,5.04,0.0,1400.0
169,2017-12-17,2054,-7.4,-0.6,0.0,1.8,59.4,9.7,6.13,0.0,1702.7777777777778
170,2017-12-18,1339,-5.0,6.8,0.3,2.0,0.0,9.7,1.28,0.0,355.55555555555554
171,2017-12-19,2034,-5.3,2.7,0.1,2.6,60.1,9.6,5.06,0.0,1405.5555555555557
172,2017-12-20,1395,-8.7,2.9,0.2,1.7,88.9,9.7,3.73,0.0,1036.111111111111
173,2017-12-21,1953,-7.5,4.6,0.0,0.6,80.5,9.6,5.03,0.0,1397.2222222222222
174,2017-12-22,1590,-4.8,8.3,0.0,1.6,84.1,9.7,4.32,0.0,1200.0
175,2017-12-23,1487,0.1,10.2,0.0,1.2,91.4,9.6,4.15,0.0,1152.7777777777778
176,2017-12-24,295,2.0,7.0,16.2,2.9,84.8,9.7,0.9,0.0,250.0
177,2017-12-25,2284,-2.5,2.0,0.4,3.1,62.4,9.7,5.56,0.0,1544.4444444444443
178,2017-12-26,2045,-4.9,1.2,0.2,2.6,72.0,9.7,4.15,0.0,1152.7777777777778
179,2017-12-27,2266,-8.5,-1.3,0.0,1.9,51.5,9.7,5.55,0.0,1541.6666666666667
180,2017-12-28,1408,-7.8,0.0,0.0,0.5,0.0,9.7,0.15,0.0,41.666666666666664
181,2017-12-29,1475,-1.5,7.6,0.0,0.8,84.1,9.7,2.73,0.0,758.3333333333334
182,2017-12-30,1262,-1.9,5.0,5.9,1.1,90.6,9.7,2.54,0.0,705.5555555555555
183,2017-12-31,2222,-2.8,4.5,0.0,2.2,67.5,9.7,5.3,0.0,1472.2222222222222
184,2018-01-01,2048,-7.0,4.0,0.0,0.7,76.0,9.7,6.95,0.0,1930.5555555555557
185,2018-01-02,1423,0.0,0.0,0.0,0.0,0.0,9.7,2.47,0.0,686.1111111111111
186,2018-01-03,2593,0.0,-0.2,0.0,2.2,0.0,9.7,5.54,0.0,1538.888888888889
187,2018-01-04,2010,-6.9,-1.0,0.0,1.2,62.5,9.7,2.61,0.0,725.0
188,2018-01-05,2520,-6.6,2.9,0.0,1.5,72.4,9.8,4.23,0.0,1175.0
189,2018-01-06,2621,-8.2,3.2,0.0,1.3,71.3,9.8,6.22,0.0,1727.7777777777778
190,2018-01-07,1301,-7.7,2.6,0.0,0.9,64.5,9.8,2.22,0.0,616.6666666666666
191,2018-01-08,969,-1.0,4.1,2.2,2.3,76.1,9.8,2.08,0.0,577.7777777777778
192,2018-01-09,1458,-5.1,0.1,11.1,3.4,81.1,9.8,3.98,0.0,1105.5555555555557
193,2018-01-10,304,-10.7,-1.1,2.5,3.2,70.0,9.8,1.61,0.0,447.22222222222223
194,2018-01-11,1176,-9.4,-6.4,0.0,3.9,62.3,9.8,4.4,0.0,1222.2222222222222
195,2018-01-12,1707,-10.7,-4.5,0.0,1.8,65.4,9.9,6.29,0.0,1747.2222222222222
196,2018-01-13,1409,-6.9,4.4,1.0,0.7,83.4,9.9,4.62,0.0,1283.3333333333333
197,2018-01-14,2183,-8.1,5.3,0.0,1.4,77.9,9.9,5.14,0.0,1427.7777777777778
198,2018-01-15,2234,-1.7,7.5,0.0,1.5,76.9,9.9,8.87,0.0,2463.8888888888887
199,2018-01-16,678,-2.2,7.0,0.2,1.0,83.3,9.9,3.19,0.0,886.1111111111111
200,2018-01-17,1495,0.1,8.0,2.2,1.2,87.9,10.0,6.58,0.0,1827.7777777777778
201,2018-01-18,1711,-0.9,4.7,0.0,1.1,80.0,10.0,6.14,0.0,1705.5555555555557
202,2018-01-19,2599,-4.7,5.4,0.0,0.9,67.1,10.0,11.04,0.0,3066.6666666666665
203,2018-01-20,2004,-5.6,6.8,0.0,1.0,80.3,10.0,8.14,0.0,2261.1111111111113
204,2018-01-21,2338,-5.0,6.0,0.0,1.1,53.4,10.1,10.34,0.0,2872.222222222222
205,2018-01-22,1368,-2.6,7.1,1.3,2.5,64.1,10.1,5.66,0.0,1572.2222222222222
206,2018-01-23,2828,-10.3,-2.6,0.5,4.0,56.8,10.1,12.39,0.0,3441.6666666666665
207,2018-01-24,2496,-13.3,-8.6,0.0,3.6,55.5,10.1,8.93,0.0,2480.5555555555557
208,2018-01-25,3052,-13.3,-7.6,0.0,3.4,55.8,10.2,12.67,0.0,3519.4444444444443
209,2018-01-26,2516,-14.4,-8.7,0.0,3.2,59.1,10.2,11.58,0.0,3216.6666666666665
210,2018-01-27,3120,-15.9,-3.3,0.0,1.6,52.8,10.2,13.58,0.0,3772.222222222222
211,2018-01-28,2655,-8.6,0.3,0.0,2.0,56.4,10.3,11.15,0.0,3097.222222222222
212,2018-01-29,2827,-9.9,-3.9,0.0,2.3,56.1,10.3,12.39,0.0,3441.6666666666665
213,2018-01-30,2687,-12.8,0.2,0.0,1.6,81.3,10.3,10.95,0.0,3041.6666666666665
214,2018-01-31,1635,-5.9,1.3,0.0,1.1,59.1,10.4,6.47,0.0,1797.2222222222222
215,2018-02-01,3328,-8.7,1.4,0.0,1.6,53.4,10.4,14.79,0.0,4108.333333333333
216,2018-02-02,3143,-11.0,3.2,0.0,1.0,62.5,10.4,14.18,0.0,3938.8888888888887
217,2018-02-03,2842,-7.3,-1.9,0.0,5.1,53.5,10.4,13.47,0.0,3741.6666666666665
218,2018-02-04,3306,-8.9,-4.1,0.0,4.4,49.0,10.5,14.51,0.0,4030.5555555555557
219,2018-02-05,3274,-11.9,-3.9,0.0,3.7,48.6,10.5,13.9,0.0,3861.1111111111113
220,2018-02-06,3212,-9.8,-4.9,0.0,4.0,49.0,10.5,14.15,0.0,3930.5555555555557
221,2018-02-07,3499,-15.3,-0.9,0.0,1.3,59.1,10.6,15.53,0.0,4313.888888888889
222,2018-02-08,3086,-11.2,3.3,0.0,1.4,49.3,10.6,10.92,0.0,3033.3333333333335
223,2018-02-09,2214,-6.6,6.8,0.0,1.4,60.4,10.7,9.6,0.0,2666.6666666666665
224,2018-02-10,2715,-4.4,4.1,0.0,3.1,59.1,10.7,11.28,0.0,3133.3333333333335
225,2018-02-11,2653,-8.6,-0.4,5.1,3.0,68.1,10.7,10.54,0.0,2927.777777777778
226,2018-02-12,1841,-13.1,-1.9,1.7,1.7,77.9,10.8,11.56,0.0,3211.1111111111113
227,2018-02-13,2424,-13.2,3.5,0.5,2.8,76.6,10.8,13.0,0.0,3611.1111111111113
228,2018-02-14,2392,-0.4,8.9,0.0,3.1,69.4,10.8,9.18,0.0,2550.0
229,2018-02-15,3795,-6.3,2.4,0.0,2.4,49.9,10.9,15.74,0.0,4372.222222222223
230,2018-02-16,3449,-7.6,4.9,0.0,1.4,60.8,10.9,14.42,0.0,4005.5555555555557
231,2018-02-17,4015,-6.0,0.5,0.0,2.2,43.4,10.9,16.67,0.0,4630.555555555556
232,2018-02-18,2448,-5.0,4.0,0.0,1.4,40.5,11.0,9.12,0.0,2533.3333333333335
233,2018-02-19,2890,-4.6,6.3,0.0,1.5,65.6,11.0,11.57,0.0,3213.8888888888887
234,2018-02-20,3224,-5.4,5.6,0.0,1.5,58.3,11.0,13.41,0.0,3725.0
235,2018-02-21,3734,-7.1,3.0,0.0,1.9,41.5,11.1,15.97,0.0,4436.111111111111
236,2018-02-22,3239,-8.6,6.6,0.1,2.8,71.4,11.1,15.5,0.0,4305.555555555556
237,2018-02-23,2418,-0.9,9.1,0.1,3.0,86.5,11.2,9.46,0.0,2627.777777777778
238,2018-02-24,3743,-3.0,7.4,0.0,1.9,63.4,11.2,16.0,0.0,4444.444444444444
239,2018-02-25,3960,-4.1,7.4,0.0,1.6,52.0,11.2,16.43,0.0,4563.888888888889
240,2018-02-26,4154,-6.9,9.3,0.0,1.0,60.0,11.3,18.77,0.0,5213.888888888889
241,2018-02-27,1299,-4.7,9.1,0.0,1.2,67.3,11.3,7.66,0.0,2127.777777777778
242,2018-02-28,328,1.8,8.4,33.0,3.1,77.4,11.3,1.46,0.0,405.55555555555554
243,2018-03-01,3941,-2.7,4.5,1.8,5.1,69.5,11.4,17.11,0.0,4752.777777777777
244,2018-03-02,4722,-7.2,6.5,0.0,1.5,53.4,11.4,19.75,0.0,5486.111111111111
245,2018-03-03,4506,-2.3,14.6,0.0,1.5,55.6,11.5,17.7,0.0,4916.666666666667
246,2018-03-04,1950,7.4,15.0,21.4,1.9,87.3,11.5,7.69,0.0,2136.1111111111113
247,2018-03-05,2829,2.3,9.9,8.9,3.7,76.5,11.5,10.84,0.0,3011.1111111111113
248,2018-03-06,4781,-1.2,9.7,0.0,2.0,64.5,11.6,19.93,0.0,5536.111111111111
249,2018-03-07,3346,-0.7,11.3,3.7,1.4,68.9,11.6,11.22,0.0,3116.6666666666665
250,2018-03-08,3331,-0.1,6.8,7.2,2.9,87.3,11.7,10.78,0.0,2994.4444444444443
251,2018-03-09,4395,-0.8,8.5,0.0,1.5,77.1,11.7,15.77,0.0,4380.555555555556
252,2018-03-10,4871,-3.0,8.1,0.0,1.8,83.9,11.7,19.17,0.0,5325.0
253,2018-03-11,4902,0.4,11.4,0.0,1.4,84.5,11.8,18.74,0.0,5205.555555555556
254,2018-03-12,4340,-2.3,13.7,0.0,1.8,77.9,11.8,17.62,0.0,4894.444444444444
255,2018-03-13,4399,3.3,14.9,0.0,2.9,71.8,11.8,8.72,0.0,2422.222222222222
256,2018-03-14,5091,10.1,20.5,0.6,2.8,72.6,11.9,17.84,0.0,4955.555555555556
257,2018-03-15,15,6.1,13.9,15.2,2.4,95.9,11.9,1.79,0.0,497.22222222222223
258,2018-03-16,3894,1.3,11.6,0.0,2.5,66.1,12.0,19.44,0.0,5400.0
259,2018-03-17,5285,-1.4,12.3,0.0,1.3,72.5,12.0,21.09,0.0,5858.333333333333
260,2018-03-18,1908,2.0,11.1,4.1,1.2,80.6,12.1,6.09,0.0,1691.6666666666667
261,2018-03-19,1218,6.2,10.0,7.1,3.7,88.0,12.1,3.62,0.0,1005.5555555555555
262,2018-03-20,3972,2.7,10.5,0.0,4.4,49.3,12.1,15.39,0.0,4275.0
263,2018-03-21,1068,0.3,2.7,6.5,3.1,83.3,12.2,3.54,0.0,983.3333333333334
264,2018-03-22,5671,-0.8,10.7,0.1,1.7,78.6,12.2,22.38,0.0,6216.666666666667
265,2018-03-23,5434,-2.7,11.6,0.0,1.3,81.4,12.2,21.1,0.0,5861.111111111111
266,2018-03-24,4343,0.2,11.6,0.0,2.1,87.9,12.3,15.56,0.0,4322.222222222223
267,2018-03-25,4340,2.7,13.4,0.0,2.0,93.9,12.3,16.87,0.0,4686.111111111111
268,2018-03-26,4625,2.9,16.7,0.0,1.8,88.3,12.4,18.06,0.0,5016.666666666667
269,2018-03-27,4769,3.3,17.3,0.0,2.5,80.8,12.4,19.11,0.0,5308.333333333333
270,2018-03-28,4819,5.9,18.2,0.0,3.2,83.0,12.4,19.9,0.0,5527.777777777777
271,2018-03-29,2784,8.9,19.2,0.0,1.5,85.5,12.5,10.21,0.0,2836.1111111111113
272,2018-03-30,4387,4.0,19.0,0.0,1.5,79.1,12.5,18.61,0.0,5169.444444444444
273,2018-03-31,5030,5.3,19.7,0.0,1.7,67.9,12.6,20.6,0.0,5722.222222222223
274,2018-04-01,1486,7.7,16.7,0.0,2.1,85.5,12.6,4.67,0.0,1297.2222222222222
275,2018-04-02,5171,9.3,21.9,0.0,2.7,78.4,12.6,21.59,0.0,5997.222222222223
276,2018-04-03,3527,11.9,21.5,0.0,2.2,84.4,12.7,11.98,0.0,3327.777777777778
277,2018-04-04,2483,8.8,15.0,7.9,3.0,84.4,12.7,12.13,0.0,3369.4444444444443
278,2018-04-05,911,8.4,10.6,23.3,1.5,97.0,12.7,2.81,0.0,780.5555555555555
279,2018-04-06,3615,3.4,9.7,9.7,4.6,73.9,12.8,15.64,0.0,4344.444444444444
280,2018-04-07,5232,1.6,8.9,0.0,5.7,49.6,12.8,24.24,0.0,6733.333333333333
281,2018-04-08,2972,-1.9,11.7,0.0,4.1,72.5,12.9,16.83,0.0,4675.0
282,2018-04-09,4678,3.0,16.3,0.0,1.5,70.9,12.9,23.66,0.0,6572.222222222223
283,2018-04-10,4293,4.0,20.7,2.4,5.4,73.3,12.9,17.34,0.0,4816.666666666667
284,2018-04-11,5570,7.3,17.4,0.0,2.9,64.3,13.0,25.78,0.0,7161.111111111111
285,2018-04-12,5286,3.9,19.8,0.0,1.8,56.9,13.0,25.24,0.0,7011.111111111111
286,2018-04-13,2644,2.9,18.7,0.1,1.7,44.3,13.0,11.32,0.0,3144.4444444444443
287,2018-04-14,937,6.4,12.5,17.8,2.9,87.6,13.1,3.53,0.0,980.5555555555555
288,2018-04-15,5117,3.2,13.8,0.0,2.0,79.0,13.1,23.61,0.0,6558.333333333333
289,2018-04-16,5268,0.8,17.3,0.0,1.6,62.9,13.2,24.98,0.0,6938.888888888889
290,2018-04-17,5474,3.7,19.1,0.0,1.4,58.3,13.2,23.53,0.0,6536.111111111111
291,2018-04-18,6716,1.5,17.9,0.0,1.5,58.5,13.2,26.75,0.0,7430.555555555556
