,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
0,3.6,14.8,,1.6,31.8,12.9,25.32,0.0,6336.812072434607,5479.723340040242,6505.555555555556,6152.905019202748,6408.793711602951
1,2.4,15.4,,1.2,41.0,12.9,24.28,1.6,5956.534205231389,5184.3955734406445,6263.88888888889,5921.209209212391,5889.442523809525
2,5.2,15.6,0.0,1.1,41.9,13.0,19.12,6.5,2675.76277665996,2650.0195171026157,3272.222222222222,3117.4963913496567,2714.440938967135
3,5.5,15.8,0.0,1.0,49.0,13.0,17.84,4.6,4122.443618231126,3878.3526404805643,4605.555555555556,4410.885120231815,4133.192296144014
4,3.0,14.4,0.0,1.9,56.1,13.1,13.88,4.0,2517.9173038229374,2365.7569416498995,2113.8888888888887,2145.681391848502,2667.2522850435953
5,2.8,17.7,,1.2,34.3,13.1,24.38,3.9,5667.765392354124,4934.321529175051,6291.666666666666,5914.975792655084,5734.726492287056
6,3.0,21.3,,1.0,27.9,13.1,25.26,1.4,6327.397585513078,5567.651307847083,6452.777777777778,6116.7576035533875,6123.371083836351
7,5.0,21.9,,0.7,31.0,13.2,22.24,5.6,4080.900804828974,3841.904828973843,4869.444444444443,4552.480685979282,3969.2481321260902
8,7.9,23.2,,1.6,33.8,13.2,22.98,3.0,5608.5110663983905,5039.692152917504,5925.0,5613.667756730452,5353.2402012072425
9,8.2,16.4,6.4,2.1,66.1,13.2,4.66,7.1,832.9519114688129,781.6402414486922,811.1111111111111,674.4681050669224,912.0211468812879
10,7.9,17.9,0.0,0.8,62.1,13.3,17.5,4.0,3714.4,3221.385714285714,3536.1111111111113,3155.045214682923,3746.64119047619
11,8.6,15.8,9.1,0.8,69.3,13.3,6.52,9.3,1086.3010060362174,1148.5448692152916,1427.7777777777778,1394.1016859841818,1173.5501374916164
12,8.1,13.9,0.2,1.6,70.8,13.4,8.24,5.6,761.2458752515091,802.6859154929576,994.4444444444446,979.1429707832968,888.4305633802816
13,4.4,12.3,0.0,3.0,42.6,13.4,23.79,5.4,5060.62049689441,4450.297804216604,5152.777777777778,4934.240253853412,5307.356790812507
14,3.7,9.7,,2.5,40.4,13.4,18.37,6.0,1604.9285714285713,1669.6142857142856,1638.8888888888891,1695.9055527104138,1733.363952380952
