,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
95,20.9,25.7,0.2,1.8,92.3,14.2,4.55,8.0,844.0833333333333,844.8333333333334,822.2222222222223,897.2234568092972,744.7425460636516
96,24.0,29.0,0.3,3.8,90.5,14.2,7.82,8.9,1455.977272727273,1456.5075757575755,1388.888888888889,974.6372883755936,1371.1635830668495
97,22.9,31.9,6.2,1.6,79.9,14.2,22.81,8.1,2317.9393939393935,2237.5606060606056,2805.5555555555557,2179.9811748834627,2138.2750266483936
98,22.0,26.9,82.1,1.2,97.5,14.2,7.05,10.0,1306.9166666666667,1292.75,1855.5555555555554,1696.3512228938198,1196.9697654941372
99,21.7,23.3,96.5,2.3,96.9,14.1,5.8,10.0,1065.2814685314686,1066.16317016317,1461.111111111111,1388.0087533582819,970.8221117241218
100,20.6,25.5,2.1,2.5,91.0,14.1,9.64,5.9,2192.083333333333,2129.083333333333,2244.4444444444443,2251.357377427186,1771.3793132328308
101,20.7,26.4,1.5,1.9,91.5,14.1,8.41,8.4,1522.6818181818182,1507.6969696969697,1150.0,1008.7352643620294,1335.4340871021775
102,20.0,29.9,,1.9,80.6,14.1,26.54,5.5,6148.590909090909,5755.924242424241,6727.777777777777,6260.066669638946,5118.4228110248205
103,22.0,27.0,37.5,2.1,93.5,14.1,5.52,9.9,936.1666666666666,945.0000000000001,1405.5555555555552,1384.161168199344,856.421554743414
104,21.8,23.9,19.1,1.5,97.3,14.0,3.32,9.5,625.6666666666666,615.5833333333331,552.7777777777778,581.4679932029948,579.6101340033501
105,21.9,29.7,16.7,0.8,96.9,14.0,8.33,9.4,307.75000000000006,308.25,658.3333333333335,439.04325380674135,297.2625821414766
106,21.1,30.1,38.1,1.4,97.8,14.0,8.85,9.6,798.8333333333334,787.7499999999999,808.3333333333334,638.7535558475148,697.6541038525964
107,21.3,32.7,,1.7,86.8,13.9,18.69,8.1,3367.7348484848485,3221.712121212121,3827.7777777777774,3385.5136938075557,2952.470260392873
108,24.3,32.6,,2.2,83.5,13.9,21.23,8.1,5174.30303030303,4900.492424242424,5452.777777777777,5127.240081351099,4084.860453784072
109,25.4,32.7,,3.2,83.5,13.9,18.85,7.9,3766.780303030303,3574.6969696969695,4186.111111111111,3570.0012625965846,3146.557689964977
110,25.8,31.1,,3.4,81.9,13.9,17.9,8.3,2355.8484848484854,2294.909090909091,2380.5555555555557,2327.6458241916584,1836.2832115121055
111,25.2,31.2,,3.0,86.8,13.8,19.02,6.8,4538.85606060606,4266.757575757577,4566.666666666666,4086.0503071773455,3753.691198416324
112,25.4,31.2,,3.3,89.4,13.8,18.29,7.4,3228.280303030303,3075.075757575757,3111.1111111111113,3025.9655015341223,2491.0427973199335
113,25.7,29.3,7.0,4.2,90.3,13.8,5.83,9.4,1195.5833333333333,1187.5833333333333,1491.666666666667,1339.8756270818187,1038.1059463986599
114,24.0,28.3,53.1,2.4,93.9,13.8,4.87,10.0,1622.7272727272727,1610.7575757575758,1200.0000000000002,1218.143604261132,1392.5257651895843
115,24.0,27.0,95.0,2.6,98.3,13.7,3.16,9.9,679.0833333333334,671.2500000000001,716.6666666666666,662.1982539151923,634.4144053601341
116,24.3,30.8,7.3,3.5,91.6,13.7,19.5,7.3,2860.3787878787875,2699.2954545454545,3327.7777777777783,3225.477730938467,2416.277820922796
117,24.3,31.7,11.6,2.6,94.3,13.6,10.5,7.4,1485.4090909090908,1468.0454545454545,1941.6666666666667,1969.1205615248184,1219.7893254149535
118,25.0,31.8,11.0,2.6,92.4,13.6,12.91,7.6,1628.75,1540.5833333333333,1647.2222222222222,1673.170031241625,1240.6447236180904
119,25.4,30.1,27.0,2.2,94.8,13.6,7.82,8.1,1096.4230769230771,1068.423076923077,1313.8888888888891,803.381913980816,968.5678585233862
120,24.7,33.8,,3.0,83.6,13.6,22.54,5.9,2067.9166666666665,1906.6439393939395,3377.777777777778,2568.0864276647894,1941.486820465966
121,27.0,32.9,,3.8,81.0,13.5,25.27,5.0,5974.319696969696,5445.410606060606,6430.555555555556,5978.617909402133,4836.0263438404145
122,25.9,34.4,,2.7,80.0,13.5,23.55,3.9,5844.606060606061,5330.489393939394,5969.444444444444,5669.857125326891,4556.842789706106
123,24.5,35.1,,2.4,79.5,13.5,27.06,4.3,5440.227272727273,4975.901515151515,5416.666666666667,5592.612621874279,4180.683957667124
124,25.4,36.4,,1.5,78.0,13.4,25.34,3.1,4551.580808080808,4154.222222222223,4111.111111111111,4489.341800386665,3439.211865387544
125,24.3,36.0,,1.5,77.8,13.4,25.61,1.4,6202.378787878789,5536.575757575757,6536.111111111111,6065.59499496326,5018.633653114055
126,24.7,36.6,,1.8,78.0,13.4,25.81,0.5,6149.007575757576,5470.227272727272,6586.111111111111,6116.455869840743,5008.372034414498
