,env_slopesolar,env_levelsolar,env_modtemp,env_airtemp,pow_dcv,pow_dca,watt,기온,강수량,풍속,풍향,습도,일조,일사,적설,전운량,지중온도,match_solar,z_score
2018-10-23 13:00,406.0285714285714,441.75714285714287,22.871428571428545,12.14857142857143,499.5192307692308,12.29615384615384,6144.407692307694,11.4,2.5,2.0,180.0,98.0,0.0,0.13,0.0,9.0,0.0,36.111111111111114,0.24831692420963664
2018-10-23 14:00,465.0144927536232,637.2898550724638,23.802898550724652,14.437681159420286,488.19607843137254,13.686274509803926,6673.045098039215,13.8,0.0,0.8,140.0,89.0,0.5,1.24,0.0,8.0,0.0,344.44444444444446,0.3819912954300892
2018-10-23 15:00,319.1857142857143,474.14285714285717,20.827142857142853,15.770000000000005,486.7368421052632,8.812280701754384,4301.308771929823,15.2,0.0,1.5,180.0,84.0,0.8,1.23,0.0,2.0,0.0,341.6666666666667,-0.21773993557249738
2018-10-23 16:00,153.8,234.65714285714284,15.804285714285713,14.689999999999987,479.83076923076925,3.9876923076923085,1925.4676923076922,16.2,0.0,1.9,250.0,77.0,1.0,1.04,0.0,0.0,0.0,288.8888888888889,-0.8185091187496392
2018-10-23 17:00,19.257142857142856,22.185714285714287,12.362857142857152,13.367142857142872,441.51428571428573,0.4442857142857143,207.37571428571434,14.6,0.0,1.7,250.0,84.0,1.0,0.53,0.0,2.0,0.0,147.22222222222223,-1.2529559860559438
2018-10-23 18:00,0.0,0.0,10.8046875,12.790624999999997,338.5,0.0,0.0,13.0,0.0,1.0,200.0,91.0,0.3,0.09,0.0,2.0,0.0,25.0,-1.3053942318421559
2018-10-24 09:00,405.65714285714284,401.72857142857146,17.51571428571428,11.031428571428567,514.8367346938776,13.965306122448979,7186.7387755102045,11.7,0.0,0.8,160.0,90.0,1.0,0.84,0.0,0.0,0.0,233.33333333333334,0.5118869074154632
2018-10-24 10:00,591.7536231884058,655.5217391304348,28.63043478260868,13.97826086956522,496.1190476190476,19.414285714285718,9624.990476190476,13.2,0.0,1.7,180.0,79.0,1.0,1.49,0.0,0.0,0.0,413.8888888888889,1.1284376082017882
2018-10-24 11:00,719.625,825.0,31.512500000000003,14.987500000000002,490.0,22.7625,11154.925,16.3,0.0,0.8,140.0,59.0,1.0,1.98,0.0,2.0,0.0,550.0,1.51530587227345
2018-10-24 15:00,330.2682926829268,583.0,19.231707317073173,16.1609756097561,488.65714285714284,8.771428571428572,4291.162857142857,18.9,0.0,2.8,290.0,46.0,1.0,1.8,0.0,2.0,0.0,500.0,-0.22030549140509526
2018-10-24 16:00,162.94285714285715,309.42857142857144,17.35714285714287,16.400000000000006,441.984375,3.871874999999999,1665.2546875000003,17.5,0.0,2.5,290.0,47.0,1.0,1.25,0.0,1.0,0.0,347.22222222222223,-0.884308113342009
2018-10-24 17:00,11.768115942028986,16.695652173913043,12.639130434782604,14.228985507246374,429.57894736842104,0.30877192982456136,134.0912280701754,15.8,0.0,2.8,250.0,51.0,1.0,0.63,0.0,0.0,0.0,175.0,-1.2714871333203341
2018-10-25 09:00,409.8857142857143,407.75714285714287,18.18428571428572,10.961428571428566,512.4081632653061,14.122448979591839,7239.904081632655,13.0,0.0,0.6,160.0,75.0,1.0,0.82,0.0,0.0,0.0,227.77777777777777,0.5253306001803123
2018-10-25 10:00,590.3428571428572,656.5428571428571,28.055714285714274,13.885714285714291,497.8837209302326,19.306976744186045,9604.044186046513,14.8,0.0,1.4,140.0,60.0,1.0,1.48,0.0,0.0,0.0,411.1111111111111,1.1231410057782028
2018-10-25 11:00,712.4782608695652,854.5072463768116,32.33043478260869,15.93768115942029,491.1578947368421,22.24736842105263,10926.668421052635,17.3,0.0,1.1,110.0,52.0,1.0,1.98,0.0,0.0,0.0,550.0,1.457587567936854
2018-10-25 12:00,759.7142857142857,975.9428571428572,34.69714285714286,17.407142857142862,483.7105263157895,23.17894736842105,11204.276315789471,18.5,0.0,1.7,110.0,44.0,1.0,2.25,0.0,1.0,0.0,625.0,1.5277851369556963
2018-10-25 13:00,644.4571428571429,848.8428571428572,33.2957142857143,18.742857142857147,478.1860465116279,18.816279069767447,8972.723255813955,20.2,0.0,1.7,110.0,32.0,1.0,2.25,0.0,4.0,0.0,625.0,0.9635014731379262
2018-10-25 14:00,469.1,667.5,29.35,20.20285714285715,477.94117647058823,13.656862745098042,6502.064705882351,20.3,0.0,1.3,140.0,37.0,1.0,1.78,0.0,7.0,0.0,494.44444444444446,0.3387561853815147
2018-10-25 15:00,354.0869565217391,558.9710144927536,25.68985507246376,20.37971014492754,479.72727272727275,9.192727272727273,4408.796363636364,20.7,0.0,2.2,90.0,30.0,1.0,1.34,0.0,7.0,0.0,372.22222222222223,-0.1905599893946633
2018-10-25 16:00,135.12857142857143,191.38571428571427,20.31,19.23142857142857,476.85074626865674,3.4626865671641776,1658.2671641791046,20.5,0.0,1.2,70.0,29.0,1.0,1.23,0.0,7.0,0.0,341.6666666666667,-0.8860750196868531
